simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
10,11,0,769,0.0,500,1000,95.99999999999957,69.5499999999997,89.99999999999947,97.99999999999953,71.79999999999974,73.9999999999996,-607.919999999998,-597.1599999999984,-605.5199999999982,-608.7199999999982,-598.1599999999979,-599.1199999999974,-255.959999999999,-263.80499999999887,-257.75999999999885,-255.359999999999,-263.1799999999988,-262.55999999999887
10,11,1,999,0.0,500,1000,106.54999999999951,90.99999999999977,89.9999999999997,101.99999999999955,24.000000000000064,85.99999999999943,-841.7999999999996,-835.7600000000001,-835.3600000000001,-840.1599999999991,-808.959999999999,-833.7600000000004,-367.6250000000002,-372.3800000000001,-372.68000000000023,-369.0800000000004,-392.4799999999998,-373.88000000000005
10,11,2,1000,1.0,500,1000,114.99999999999972,121.99999999999943,64.99999999999986,106.99999999999959,14.000000000000034,75.99999999999972,-846.399999999999,-849.2000000000002,-826.3999999999987,-843.1999999999998,-805.9999999999982,-830.7999999999981,-365.6999999999993,-363.59999999999945,-380.6999999999996,-368.09999999999957,-395.9999999999993,-377.3999999999995
10,11,3,851,0.0,500,1000,119.99999999999946,108.99999999999956,47.99999999999981,104.54999999999953,38.99999999999986,78.99999999999963,-699.3600000000005,-694.9599999999997,-670.5599999999989,-692.9999999999994,-666.9599999999992,-682.9599999999989,-289.6799999999988,-292.97999999999894,-311.2799999999995,-294.2249999999992,-313.9799999999996,-301.9799999999992
10,11,4,1000,1.0,500,1000,88.99999999999964,103.99999999999959,62.99999999999986,82.99999999999957,68.99999999999964,90.99999999999986,-836.0,-841.9999999999998,-825.5999999999998,-833.6,-827.9999999999995,-836.7999999999993,-373.49999999999955,-368.9999999999999,-381.29999999999984,-375.2999999999996,-379.4999999999997,-372.89999999999964
10,11,5,836,0.0,500,1000,106.9999999999997,74.99999999999974,55.99999999999976,99.99999999999967,57.549999999999784,103.99999999999982,-679.1599999999993,-666.3599999999996,-658.759999999999,-676.3599999999986,-659.1999999999986,-677.9599999999989,-286.07999999999976,-295.6799999999997,-301.37999999999954,-288.1799999999998,-300.82499999999965,-286.9799999999998
10,11,6,1000,1.0,500,1000,44.99999999999984,64.99999999999967,97.99999999999972,90.99999999999955,50.999999999999886,149.00000000000082,-818.3999999999988,-826.3999999999986,-839.6000000000004,-836.7999999999998,-820.7999999999993,-859.9999999999997,-386.7000000000002,-380.70000000000016,-370.80000000000024,-372.9,-384.90000000000015,-355.49999999999983
10,11,7,1000,1.0,500,1000,100.9999999999995,91.9999999999996,82.99999999999969,91.99999999999956,51.999999999999766,78.99999999999949,-840.7999999999997,-837.1999999999998,-833.5999999999996,-837.2000000000005,-821.1999999999997,-831.999999999999,-369.8999999999994,-372.5999999999995,-375.2999999999997,-372.5999999999996,-384.5999999999997,-376.49999999999983
10,11,8,971,0.0,500,1000,78.9999999999997,100.99999999999956,62.54999999999984,78.99999999999957,30.000000000000085,148.00000000000065,-802.9599999999998,-811.7600000000007,-796.2000000000002,-802.9599999999998,-783.3600000000002,-830.5600000000002,-361.98000000000025,-355.3800000000002,-366.8250000000003,-361.98000000000036,-376.6800000000005,-341.27999999999986
10,11,9,1000,1.0,500,1000,106.9999999999995,77.99999999999979,75.99999999999982,74.99999999999956,85.99999999999952,76.99999999999967,-843.1999999999994,-831.5999999999993,-830.7999999999993,-830.3999999999983,-834.7999999999988,-831.199999999999,-368.09999999999957,-376.7999999999999,-377.39999999999975,-377.7,-374.40000000000003,-377.0999999999999
