simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
0,2,0,1000,1.0,500,1000,81.9999999999995,84.99999999999963,78.99999999999959,70.99999999999957,84.99999999999943,96.99999999999949,-833.1999999999981,-834.399999999999,-831.9999999999991,-828.7999999999981,-834.3999999999992,-839.1999999999992,-146.79999999999998,-144.84999999999994,-148.74999999999994,-153.95,-144.84999999999997,-137.05
0,2,1,1000,4.0,500,1000,127.99999999999972,38.99999999999991,158.00000000000074,27.000000000000032,28.00000000000003,115.99999999999949,-852.7999999999998,-817.1999999999998,-864.7999999999989,-812.4000000000003,-812.7999999999992,-848.0000000000006,-117.19999999999982,-175.05000000000018,-97.69999999999989,-182.85000000000008,-182.20000000000002,-124.99999999999982
0,2,2,1000,1.0,500,1000,89.99999999999982,111.99999999999959,98.99999999999939,50.99999999999987,78.99999999999963,67.99999999999984,-836.3999999999985,-845.1999999999989,-839.9999999999989,-820.799999999999,-831.999999999999,-827.5999999999992,-141.59999999999994,-127.29999999999998,-135.7500000000001,-166.94999999999996,-148.75000000000003,-155.90000000000006
0,2,3,901,0.0,500,1000,33.999999999999986,116.99999999999945,107.99999999999962,132.00000000000014,82.54999999999981,26.000000000000025,-714.9600000000005,-748.1600000000003,-744.5600000000007,-754.1600000000003,-734.2000000000007,-711.7599999999995,-153.24,-99.28999999999984,-105.13999999999986,-89.53999999999995,-121.63749999999987,-158.44000000000014
0,2,4,1000,1.0,500,1000,1.0000000000000004,18.000000000000036,121.84999999999921,122.99999999999974,125.99999999999942,108.9999999999998,-800.9199999999995,-807.7199999999996,-849.1999999999998,-849.7199999999993,-850.92,-844.1200000000001,-199.47999999999988,-188.43000000000006,-120.91249999999997,-120.1799999999998,-118.22999999999992,-129.28
0,2,5,837,0.0,500,1000,92.99999999999928,140.00000000000057,31.000000000000057,4.999999999999996,126.54999999999959,103.99999999999969,-674.5599999999995,-693.3599999999991,-649.7599999999993,-639.359999999999,-687.799999999999,-678.9599999999994,-98.88999999999994,-68.34000000000002,-139.19000000000008,-156.08999999999975,-77.03750000000001,-91.73999999999997
0,2,6,1000,1.0,500,1000,75.99999999999964,91.99999999999962,116.99999999999942,45.9999999999999,103.99999999999942,63.99999999999995,-830.8000000000005,-837.2,-847.1999999999989,-818.8000000000004,-842.0000000000002,-826.0,-150.69999999999993,-140.2999999999999,-124.05000000000011,-170.19999999999993,-132.49999999999983,-158.49999999999974
0,2,7,816,0.0,500,1000,47.99999999999995,98.99999999999952,127.54999999999946,2.000000000000001,113.99999999999962,108.99999999999967,-635.5599999999987,-655.9599999999996,-667.1999999999991,-617.159999999999,-661.959999999999,-659.9599999999981,-122.88999999999969,-89.73999999999997,-71.13750000000002,-152.78999999999982,-79.98999999999994,-83.23999999999991
0,2,8,713,0.0,500,1000,76.54999999999967,89.9999999999996,82.99999999999973,99.99999999999967,69.99999999999967,79.99999999999967,-543.7999999999986,-549.3599999999994,-546.5599999999988,-553.3599999999988,-541.3599999999996,-545.3599999999988,-78.53750000000005,-69.84000000000002,-74.39000000000003,-63.34000000000007,-82.84,-76.34000000000003
0,2,9,618,0.0,500,1000,90.99999999999967,94.99999999999947,76.99999999999976,96.99999999999967,89.54999999999967,49.99999999999994,-454.75999999999965,-456.35999999999996,-449.15999999999985,-457.15999999999934,-453.9999999999997,-438.3599999999998,-45.43999999999999,-42.839999999999854,-54.53999999999996,-41.539999999999885,-46.337500000000055,-72.09000000000002
