simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
3,4,0,76,0.0,50,300,10.999999999999996,6.9999999999999964,7.550000000000001,5.999999999999997,11.550000000000002,6.999999999999997,-60.72000000000001,-59.120000000000005,-59.160000000000004,-58.720000000000006,-60.76000000000001,-59.12000000000001,10.999999999999996,6.9999999999999964,7.550000000000001,5.999999999999997,11.550000000000002,6.999999999999997
3,4,1,44,0.0,50,300,11.850000000000007,11.550000000000002,7.999999999999998,6.9999999999999964,4.9999999999999964,5.9999999999999964,-29.16000000000001,-28.92000000000001,-27.680000000000014,-27.28000000000001,-26.480000000000018,-26.88000000000001,11.850000000000007,11.550000000000002,7.999999999999998,6.9999999999999964,4.9999999999999964,5.9999999999999964
3,4,2,45,0.0,50,300,10.550000000000002,13.0,6.999999999999998,5.9999999999999964,3.000000000000001,10.000000000000002,-29.4,-30.56000000000001,-28.160000000000004,-27.760000000000005,-26.560000000000002,-29.360000000000007,10.550000000000002,13.0,6.999999999999998,5.9999999999999964,3.000000000000001,10.000000000000002
3,4,3,70,0.0,50,300,5.999999999999995,15.000000000000005,2.000000000000001,6.999999999999995,9.550000000000008,10.000000000000002,-52.76000000000002,-56.36000000000002,-51.160000000000025,-53.16000000000001,-54.00000000000002,-54.36000000000002,5.999999999999995,15.000000000000005,2.000000000000001,6.999999999999995,9.550000000000008,10.000000000000002
3,4,4,50,0.0,50,300,11.550000000000006,9.000000000000004,1.0000000000000004,9.999999999999998,11.000000000000007,6.999999999999997,-34.800000000000026,-33.96000000000002,-30.760000000000026,-34.36000000000002,-34.76000000000001,-33.16000000000002,11.550000000000006,9.000000000000004,1.0000000000000004,9.999999999999998,11.000000000000007,6.999999999999997
3,4,5,80,0.0,50,300,9.000000000000005,3.9999999999999996,13.000000000000002,7.999999999999997,8.549999999999999,6.999999999999998,-63.96,-61.959999999999994,-65.56000000000002,-63.559999999999995,-63.60000000000001,-63.15999999999999,9.000000000000005,3.9999999999999996,13.000000000000002,7.999999999999997,8.549999999999999,6.999999999999998
3,4,6,47,0.0,50,300,13.999999999999993,11.549999999999999,1.0000000000000004,7.9999999999999964,8.000000000000002,7.549999999999998,-32.92000000000001,-31.760000000000005,-27.72,-30.520000000000003,-30.520000000000003,-30.160000000000004,13.999999999999993,11.549999999999999,1.0000000000000004,7.9999999999999964,8.000000000000002,7.549999999999998
3,4,7,46,0.0,50,300,10.0,7.699999999999998,2.999999999999999,10.550000000000002,6.999999999999998,11.0,-30.60000000000002,-29.560000000000013,-27.800000000000015,-30.640000000000022,-29.400000000000016,-31.000000000000018,10.0,7.699999999999998,2.999999999999999,10.550000000000002,6.999999999999998,11.0
3,4,8,24,0.0,50,300,10.399999999999997,12.499999999999998,2.0000000000000004,6.749999999999998,6.549999999999999,9.799999999999999,-9.520000000000001,-10.400000000000002,-6.400000000000002,-8.200000000000003,-8.040000000000003,-9.440000000000001,10.399999999999997,12.499999999999998,2.0000000000000004,6.749999999999998,6.549999999999999,9.799999999999999
3,4,9,41,0.0,50,300,9.000000000000002,11.000000000000002,0.0,10.000000000000004,11.100000000000001,7.649999999999999,-25.599999999999998,-26.40000000000001,-21.999999999999996,-25.999999999999993,-26.080000000000005,-24.919999999999995,9.000000000000002,11.000000000000002,0.0,10.000000000000004,11.100000000000001,7.649999999999999
3,4,10,39,0.0,50,300,9.999999999999998,5.0,8.549999999999997,9.000000000000004,11.80000000000001,4.999999999999997,-23.52000000000001,-21.52000000000001,-22.760000000000005,-23.12000000000001,-24.160000000000004,-21.52000000000001,9.999999999999998,5.0,8.549999999999997,9.000000000000004,11.80000000000001,4.999999999999997
3,4,11,34,0.0,50,300,9.499999999999998,7.949999999999998,7.999999999999999,7.9999999999999964,12.400000000000007,4.0,-18.12,-17.68,-17.720000000000002,-17.720000000000002,-19.24,-16.12,9.499999999999998,7.949999999999998,7.999999999999999,7.9999999999999964,12.400000000000007,4.0
3,4,12,58,0.0,50,300,10.000000000000004,2.0000000000000004,13.000000000000009,4.999999999999998,13.550000000000002,6.0,-42.36000000000002,-39.16000000000001,-43.56000000000001,-40.36000000000002,-43.600000000000016,-40.76000000000002,10.000000000000004,2.0000000000000004,13.000000000000009,4.999999999999998,13.550000000000002,6.0
3,4,13,31,0.0,50,300,9.000000000000005,9.000000000000004,4.999999999999997,13.699999999999996,8.549999999999999,3.9999999999999973,-15.200000000000003,-15.200000000000003,-13.6,-16.959999999999997,-14.840000000000002,-13.199999999999998,9.000000000000005,9.000000000000004,4.999999999999997,13.699999999999996,8.549999999999999,3.9999999999999973
3,4,14,49,0.0,50,300,11.000000000000005,5.9999999999999964,8.550000000000002,10.0,7.9999999999999964,5.999999999999998,-33.760000000000005,-31.759999999999998,-32.60000000000001,-33.36000000000001,-32.56,-31.760000000000005,11.000000000000005,5.9999999999999964,8.550000000000002,10.0,7.9999999999999964,5.999999999999998
3,4,15,47,0.0,50,300,6.999999999999998,10.550000000000011,8.999999999999996,11.90000000000001,2.999999999999999,7.999999999999999,-30.24000000000002,-31.48000000000001,-31.040000000000024,-32.160000000000004,-28.64000000000002,-30.64000000000002,6.999999999999998,10.550000000000011,8.999999999999996,11.90000000000001,2.999999999999999,7.999999999999999
3,4,16,36,0.0,50,300,6.999999999999999,6.9999999999999964,7.999999999999999,12.600000000000003,7.000000000000003,7.549999999999995,-19.480000000000004,-19.480000000000004,-19.880000000000003,-21.560000000000002,-19.480000000000004,-19.520000000000003,6.999999999999999,6.9999999999999964,7.999999999999999,12.600000000000003,7.000000000000003,7.549999999999995
3,4,17,29,0.0,50,300,10.000000000000002,11.000000000000002,4.999999999999999,7.6,6.799999999999998,8.549999999999999,-13.84,-14.240000000000004,-11.84,-12.719999999999999,-12.48,-13.079999999999998,10.000000000000002,11.000000000000002,4.999999999999999,7.6,6.799999999999998,8.549999999999999
3,4,18,31,0.0,50,300,9.000000000000005,7.999999999999998,7.549999999999998,8.999999999999998,7.0,9.000000000000004,-14.96,-14.559999999999999,-14.2,-14.96,-14.16,-14.96,9.000000000000005,7.999999999999998,7.549999999999998,8.999999999999998,7.0,9.000000000000004
3,4,19,35,0.0,50,300,11.350000000000001,5.9999999999999964,7.999999999999998,1.0000000000000004,13.550000000000004,10.000000000000004,-19.760000000000005,-17.88,-18.680000000000003,-15.88,-20.720000000000013,-19.480000000000008,11.350000000000001,5.9999999999999964,7.999999999999998,1.0000000000000004,13.550000000000004,10.000000000000004
3,4,20,47,0.0,50,300,10.00000000000001,9.000000000000004,7.549999999999995,4.999999999999998,7.9999999999999964,9.550000000000002,-31.720000000000006,-31.32,-30.56000000000001,-29.720000000000006,-30.92,-31.360000000000014,10.00000000000001,9.000000000000004,7.549999999999995,4.999999999999998,7.9999999999999964,9.550000000000002
3,4,21,34,0.0,50,300,5.999999999999999,10.550000000000004,10.000000000000002,11.000000000000004,6.0,6.0,-16.759999999999998,-18.400000000000006,-18.360000000000003,-18.76,-16.76,-16.76,5.999999999999999,10.550000000000004,10.000000000000002,11.000000000000004,6.0,6.0
3,4,22,45,0.0,50,300,6.999999999999997,9.55,5.999999999999999,11.000000000000007,6.999999999999999,9.000000000000002,-28.160000000000007,-29.000000000000007,-27.76000000000001,-29.760000000000005,-28.160000000000007,-28.960000000000008,6.999999999999997,9.55,5.999999999999999,11.000000000000007,6.999999999999999,9.000000000000002
3,4,23,45,0.0,50,300,11.549999999999999,7.999999999999998,7.9999999999999964,7.999999999999998,10.000000000000007,3.9999999999999996,-29.800000000000004,-28.559999999999995,-28.56000000000001,-28.559999999999995,-29.360000000000007,-26.96,11.549999999999999,7.999999999999998,7.9999999999999964,7.999999999999998,10.000000000000007,3.9999999999999996
3,4,24,38,0.0,50,300,9.999999999999998,10.550000000000002,5.999999999999997,5.999999999999999,8.850000000000005,8.000000000000004,-22.479999999999997,-22.520000000000003,-20.880000000000003,-20.880000000000003,-21.96,-21.68,9.999999999999998,10.550000000000002,5.999999999999997,5.999999999999999,8.850000000000005,8.000000000000004
3,4,25,46,0.0,50,300,5.999999999999999,10.000000000000007,7.999999999999996,5.549999999999995,11.000000000000002,9.000000000000002,-28.760000000000005,-30.36,-29.560000000000002,-28.400000000000006,-30.760000000000012,-29.96,5.999999999999999,10.000000000000007,7.999999999999996,5.549999999999995,11.000000000000002,9.000000000000002
3,4,26,36,0.0,50,300,10.0,8.000000000000002,8.549999999999997,6.9999999999999964,9.65,5.999999999999997,-20.64,-19.840000000000003,-19.880000000000006,-19.440000000000005,-20.360000000000003,-19.04,10.0,8.000000000000002,8.549999999999997,6.9999999999999964,9.65,5.999999999999997
3,4,27,39,0.0,50,300,10.950000000000005,7.999999999999998,8.000000000000002,7.55,6.999999999999997,7.999999999999999,-23.76,-22.60000000000001,-22.6,-22.24000000000001,-22.20000000000001,-22.6,10.950000000000005,7.999999999999998,8.000000000000002,7.55,6.999999999999997,7.999999999999999
3,4,28,61,0.0,50,300,4.999999999999999,10.0,10.550000000000011,4.999999999999999,10.000000000000002,9.0,-43.36000000000001,-45.36000000000001,-45.400000000000006,-43.36000000000001,-45.36000000000001,-44.96000000000001,4.999999999999999,10.0,10.550000000000011,4.999999999999999,10.000000000000002,9.0
