simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
0,2,0,875,0.0,500,1000,90.99999999999963,73.99999999999973,70.99999999999964,72.99999999999967,87.54999999999957,102.99999999999955,-711.7599999999993,-704.9599999999994,-703.7599999999993,-704.5599999999993,-710.1999999999994,-716.559999999999,90.99999999999963,73.99999999999973,70.99999999999964,72.99999999999967,87.54999999999957,102.99999999999955
0,2,1,649,0.0,500,1000,91.9999999999997,85.9999999999996,83.99999999999969,84.99999999999966,77.99999999999976,74.54999999999971,-486.1599999999994,-483.7599999999994,-482.95999999999947,-483.3599999999992,-480.5599999999993,-478.99999999999915,91.9999999999997,85.9999999999996,83.99999999999969,84.99999999999966,77.99999999999976,74.54999999999971
0,2,2,664,0.0,500,1000,87.99999999999976,79.5499999999998,89.9999999999996,82.9999999999997,73.99999999999977,84.99999999999962,-499.56000000000006,-495.9999999999999,-500.3599999999997,-497.56,-493.95999999999964,-498.3599999999996,87.99999999999976,79.5499999999998,89.9999999999996,82.9999999999997,73.99999999999977,84.99999999999962
0,2,3,537,0.0,500,1000,81.99999999999966,88.99999999999972,67.54999999999974,92.9999999999998,81.99999999999956,85.99999999999959,-370.1599999999997,-372.9599999999994,-364.2000000000002,-374.5599999999996,-370.15999999999957,-371.7599999999996,81.99999999999966,88.99999999999972,67.54999999999974,92.9999999999998,81.99999999999956,85.99999999999959
0,2,4,536,0.0,500,1000,66.99999999999972,96.99999999999974,86.5499999999995,87.9999999999996,79.99999999999987,80.99999999999973,-363.1599999999994,-375.16,-370.79999999999995,-371.5599999999993,-368.35999999999973,-368.7599999999997,66.99999999999972,96.99999999999974,86.5499999999995,87.9999999999996,79.99999999999987,80.99999999999973
0,2,5,483,0.0,500,1000,84.99999999999963,55.999999999999865,94.99999999999972,83.54999999999987,96.99999999999936,82.99999999999983,-317.3599999999997,-305.7599999999996,-321.35999999999973,-316.5999999999998,-322.15999999999974,-316.5599999999998,84.99999999999963,55.999999999999865,94.99999999999972,83.54999999999987,96.99999999999936,82.99999999999983
0,2,6,691,0.0,500,1000,90.99999999999989,79.99999999999967,91.54999999999949,66.99999999999982,86.99999999999963,82.9999999999997,-527.7599999999993,-523.3599999999998,-527.7999999999997,-518.1599999999999,-526.1599999999995,-524.5599999999995,90.99999999999989,79.99999999999967,91.54999999999949,66.99999999999982,86.99999999999963,82.9999999999997
0,2,7,652,0.0,500,1000,91.99999999999979,91.99999999999972,93.99999999999976,44.54999999999984,79.99999999999957,96.99999999999987,-489.1599999999999,-489.15999999999934,-489.9599999999997,-469.99999999999994,-484.35999999999956,-491.15999999999957,91.99999999999979,91.99999999999972,93.99999999999976,44.54999999999984,79.99999999999957,96.99999999999987
0,2,8,582,0.0,500,1000,87.54999999999978,72.9999999999997,81.99999999999953,95.99999999999972,80.99999999999979,79.99999999999973,-417.19999999999976,-411.5600000000001,-415.1599999999998,-420.7599999999999,-414.7600000000001,-414.35999999999996,87.54999999999978,72.9999999999997,81.99999999999953,95.99999999999972,80.99999999999979,79.99999999999973
0,2,9,404,0.0,500,1000,84.99999999999967,96.54999999999968,68.99999999999984,78.99999999999972,88.99999999999945,80.99999999999973,-238.36000000000013,-242.80000000000004,-231.96,-235.95999999999995,-239.96000000000004,-236.75999999999985,84.99999999999967,96.54999999999968,68.99999999999984,78.99999999999972,88.99999999999945,80.99999999999973
0,2,10,652,0.0,500,1000,74.54999999999964,84.99999999999983,98.99999999999973,98.99999999999953,70.9999999999998,70.99999999999983,-481.9999999999994,-486.3599999999995,-491.95999999999964,-491.95999999999935,-480.75999999999954,-480.7599999999995,74.54999999999964,84.99999999999983,98.99999999999973,98.99999999999953,70.9999999999998,70.99999999999983
0,2,11,540,0.0,500,1000,85.99999999999964,82.54999999999966,83.99999999999969,86.99999999999966,76.99999999999969,82.9999999999998,-374.7599999999997,-373.1999999999995,-373.9599999999993,-375.15999999999985,-371.1599999999997,-373.55999999999943,85.99999999999964,82.54999999999966,83.99999999999969,86.99999999999966,76.99999999999969,82.9999999999998
0,2,12,714,0.0,500,1000,84.5499999999995,72.99999999999974,75.99999999999969,99.99999999999963,83.9999999999996,81.9999999999997,-547.9999999999991,-543.5599999999989,-544.7599999999987,-554.3599999999992,-547.9599999999994,-547.1599999999992,84.5499999999995,72.99999999999974,75.99999999999969,99.99999999999963,83.9999999999996,81.9999999999997
0,2,13,827,0.0,500,1000,85.9999999999998,89.99999999999984,88.99999999999962,75.54999999999981,84.99999999999973,73.9999999999998,-661.7600000000001,-663.3600000000001,-662.9599999999996,-657.4000000000002,-661.3599999999999,-656.96,85.9999999999998,89.99999999999984,88.99999999999962,75.54999999999981,84.99999999999973,73.9999999999998
0,2,14,832,0.0,500,1000,91.99999999999996,80.9999999999997,88.5499999999997,83.99999999999966,80.99999999999982,72.99999999999976,-669.1599999999999,-664.76,-667.5999999999998,-665.96,-664.7600000000001,-661.5600000000002,91.99999999999996,80.9999999999997,88.5499999999997,83.99999999999966,80.99999999999982,72.99999999999976
0,2,15,776,0.0,500,1000,75.99999999999973,90.99999999999969,79.9999999999997,87.54999999999978,84.99999999999977,79.99999999999983,-606.7599999999994,-612.7599999999994,-608.3599999999993,-611.1999999999996,-610.3599999999991,-608.3599999999992,75.99999999999973,90.99999999999969,79.9999999999997,87.54999999999978,84.99999999999977,79.99999999999983
0,2,16,705,0.0,500,1000,61.99999999999977,82.99999999999964,92.54999999999974,90.99999999999966,77.99999999999963,92.9999999999997,-530.1599999999995,-538.559999999999,-542.1999999999991,-541.7599999999992,-536.5599999999995,-542.5599999999994,61.99999999999977,82.99999999999964,92.54999999999974,90.99999999999966,77.99999999999963,92.9999999999997
0,2,17,730,0.0,500,1000,79.9999999999996,96.54999999999954,88.99999999999964,88.99999999999967,60.99999999999985,83.99999999999987,-562.3600000000001,-568.7999999999997,-565.9599999999995,-565.9599999999998,-554.7599999999998,-563.9599999999997,79.9999999999996,96.54999999999954,88.99999999999964,88.99999999999967,60.99999999999985,83.99999999999987
0,2,18,657,0.0,500,1000,84.99999999999966,95.9999999999997,79.99999999999976,69.99999999999976,86.99999999999979,81.54999999999964,-491.35999999999945,-495.7599999999993,-489.3599999999995,-485.35999999999973,-492.1599999999998,-489.79999999999967,84.99999999999966,95.9999999999997,79.99999999999976,69.99999999999976,86.99999999999979,81.54999999999964
0,2,19,604,0.0,500,1000,95.99999999999969,80.99999999999956,75.99999999999982,101.99999999999945,48.9999999999998,95.54999999999937,-442.75999999999993,-436.7599999999999,-434.75999999999993,-445.1600000000002,-423.95999999999987,-442.3999999999999,95.99999999999969,80.99999999999956,75.99999999999982,101.99999999999945,48.9999999999998,95.54999999999937
0,2,20,477,0.0,500,1000,75.99999999999966,69.99999999999979,79.9999999999997,89.99999999999983,93.99999999999977,89.54999999999987,-307.7599999999992,-305.3599999999994,-309.35999999999945,-313.3599999999995,-314.95999999999947,-312.9999999999996,75.99999999999966,69.99999999999979,79.9999999999997,89.99999999999983,93.99999999999977,89.54999999999987
0,2,21,443,0.0,500,1000,85.99999999999972,76.99999999999977,74.9999999999997,85.54999999999961,85.99999999999972,89.99999999999973,-277.76000000000016,-274.16000000000014,-273.3600000000004,-277.4000000000002,-277.75999999999993,-279.3600000000001,85.99999999999972,76.99999999999977,74.9999999999997,85.54999999999961,85.99999999999972,89.99999999999973
0,2,22,547,0.0,500,1000,87.99999999999974,90.99999999999984,91.54999999999981,75.9999999999998,86.99999999999983,65.9999999999998,-382.55999999999915,-383.75999999999925,-383.79999999999984,-377.7599999999996,-382.15999999999934,-373.75999999999993,87.99999999999974,90.99999999999984,91.54999999999981,75.9999999999998,86.99999999999983,65.9999999999998
0,2,23,561,0.0,500,1000,72.99999999999969,90.54999999999983,80.9999999999996,81.99999999999959,86.99999999999955,85.99999999999949,-390.5599999999995,-397.39999999999975,-393.75999999999954,-394.15999999999957,-396.15999999999946,-395.7599999999992,72.99999999999969,90.54999999999983,80.9999999999996,81.99999999999959,86.99999999999955,85.99999999999949
0,2,24,753,0.0,500,1000,96.99999999999969,80.99999999999974,73.99999999999973,80.54999999999977,84.99999999999977,81.99999999999969,-592.1599999999996,-585.7599999999998,-582.9599999999998,-585.3999999999999,-587.3599999999999,-586.1599999999997,96.99999999999969,80.99999999999974,73.99999999999973,80.54999999999977,84.99999999999977,81.99999999999969
0,2,25,627,0.0,500,1000,78.99999999999974,77.99999999999963,82.54999999999961,80.99999999999969,95.99999999999959,82.99999999999983,-458.95999999999964,-458.55999999999983,-460.19999999999993,-459.7599999999997,-465.7599999999996,-460.55999999999955,78.99999999999974,77.99999999999963,82.54999999999961,80.99999999999969,95.99999999999959,82.99999999999983
