step,resource,emotion_0,emotion_1,emotion_2,emotion_3,emotion_4,reward_0,reward_1,reward_2,reward_3,reward_4,action_0,action_1,action_2,action_3,action_4
0,1998.0,0.0,0.0,0.0,0.0,0.0,0.25,1.625,0.25,0.25,1.625,0,1,0,0,1
1,1994.0,0.0,1.0,0.0,0.0,1.0,1.71875,0.53125,1.71875,1.71875,1.8125,1,0,1,1,1
2,1991.0,0.75,0.25,0.75,0.75,1.0,0.43749999999999994,1.6875,0.43749999999999994,1.6875,1.75,0,1,0,1,1
3,1988.0,0.16666666666666666,0.8333333333333333,0.16666666666666666,0.8333333333333333,1.0,1.65625,1.703125,0.421875,0.46875,1.75,1,1,0,0,1
4,1987.0,0.75,0.875,0.125,0.25,1.0,0.30000000000000004,0.3375,0.2625,0.30000000000000004,1.6,0,0,0,0,1
5,1985.0,0.2,0.3,0.1,0.2,1.0,0.34374999999999994,0.375,0.3125,1.5625,1.65625,0,0,0,1,1
6,1984.0,0.16666666666666666,0.25,0.08333333333333333,0.75,1.0,0.2589285714285714,0.2857142857142857,0.23214285714285715,0.2857142857142857,1.5803571428571428,0,0,0,0,1
7,1983.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427,1.0,0.2421875,0.265625,0.21875,1.4765625,0.359375,0,0,0,1,0
8,1980.0,0.125,0.1875,0.0625,0.75,0.4375,1.5763888888888888,0.38888888888888884,1.5555555555555556,1.6180555555555556,0.4722222222222222,1,0,1,1,0
9,1978.0,0.6666666666666666,0.16666666666666666,0.6111111111111112,0.7777777777777778,0.3888888888888889,0.31875000000000003,0.31875000000000003,0.3,1.5625,1.6,0,0,0,1,1
10,1975.0,0.15,0.15,0.1,0.8,0.9,0.3806818181818182,1.5852272727272727,0.36363636363636365,1.6363636363636362,1.6704545454545454,0,1,0,1,1
11,1973.0,0.13636363636363635,0.6818181818181819,0.09090909090909091,0.8181818181818181,0.9090909090909092,1.515625,0.328125,1.5,0.375,0.40625,1,0,1,0,0
12,1971.0,0.6666666666666666,0.16666666666666666,0.625,0.2916666666666667,0.375,0.32211538461538464,0.32211538461538464,1.5096153846153846,1.5673076923076923,0.3942307692307692,0,0,1,1,0
13,1967.0,0.15384615384615385,0.15384615384615385,0.6538461538461539,0.8076923076923077,0.34615384615384615,1.6517857142857144,1.6517857142857144,1.6517857142857144,1.7053571428571428,0.5178571428571428,1,1,1,1,0
14,1967.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.8214285714285714,0.32142857142857145,0.2,0.2,0.2,0.25,0.25,0,0,0,0,0
