simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
5,6,0,1000,19.0,1000,1000,155.00000000000117,162.60000000000224,202.0000000000016,159.00000000000097,184.00000000000142,117.99999999999888,-669.920000000002,-672.7999999999996,-688.7200000000009,-671.5199999999999,-681.5200000000006,-655.1200000000017,155.00000000000117,162.60000000000224,202.0000000000016,159.00000000000097,184.00000000000142,117.99999999999888
5,6,1,1000,5.0,1000,1000,160.00000000000136,177.0000000000016,179.00000000000225,154.00000000000085,173.00000000000173,152.00000000000105,-666.0,-672.7999999999995,-673.5999999999997,-663.5999999999992,-671.1999999999989,-662.799999999999,160.00000000000136,177.0000000000016,179.00000000000225,154.00000000000085,173.00000000000173,152.00000000000105
5,6,2,1000,2.0,1000,1000,161.00000000000185,156.00000000000108,146.0000000000008,190.00000000000108,176.0000000000018,169.00000000000168,-665.1999999999998,-663.2000000000002,-659.1999999999995,-676.8000000000001,-671.2000000000002,-668.3999999999999,161.00000000000185,156.00000000000108,146.0000000000008,190.00000000000108,176.0000000000018,169.00000000000168
5,6,3,1000,4.0,1000,1000,161.00000000000185,148.0000000000018,180.00000000000165,187.00000000000128,168.00000000000196,152.00000000000057,-666.0000000000003,-660.7999999999992,-673.5999999999991,-676.3999999999992,-668.8000000000002,-662.3999999999997,161.00000000000185,148.0000000000018,180.00000000000165,187.00000000000128,168.00000000000196,152.00000000000057
5,6,4,1000,3.0,1000,1000,173.00000000000148,180.00000000000142,153.00000000000085,143.00000000000117,180.00000000000088,168.00000000000122,-670.399999999999,-673.1999999999996,-662.399999999999,-658.4,-673.1999999999983,-668.3999999999994,173.00000000000148,180.00000000000142,153.00000000000085,143.00000000000117,180.00000000000088,168.00000000000122
5,6,5,1000,7.0,1000,1000,163.00000000000105,168.00000000000117,146.00000000000108,165.00000000000168,165.00000000000114,186.0000000000022,-668.0000000000001,-669.9999999999999,-661.1999999999991,-668.8000000000003,-668.7999999999996,-677.1999999999996,163.00000000000105,168.00000000000117,146.00000000000108,165.00000000000168,165.00000000000114,186.0000000000022
5,6,6,1000,4.0,1000,1000,166.00000000000074,163.00000000000148,164.00000000000176,157.0000000000012,185.00000000000205,161.00000000000153,-667.9999999999986,-666.7999999999997,-667.1999999999994,-664.3999999999992,-675.5999999999987,-665.9999999999987,166.00000000000074,163.00000000000148,164.00000000000176,157.0000000000012,185.00000000000205,161.00000000000153
5,6,7,1000,3.0,1000,1000,160.00000000000114,161.0000000000014,175.00000000000122,146.00000000000043,183.00000000000128,172.00000000000162,-665.199999999999,-665.5999999999999,-671.1999999999995,-659.5999999999992,-674.3999999999995,-669.9999999999999,160.00000000000114,161.0000000000014,175.00000000000122,146.00000000000043,183.00000000000128,172.00000000000162
5,6,8,1000,5.0,1000,1000,177.00000000000128,155.0000000000012,166.0000000000012,168.00000000000142,151.00000000000117,178.00000000000207,-672.8000000000005,-663.9999999999997,-668.4000000000008,-669.2000000000004,-662.4000000000005,-673.1999999999996,177.00000000000128,155.0000000000012,166.0000000000012,168.00000000000142,151.00000000000117,178.00000000000207
5,6,9,1000,5.0,1000,1000,183.00000000000128,159.0000000000015,163.00000000000162,163.00000000000168,171.00000000000068,156.00000000000105,-675.1999999999991,-665.5999999999985,-667.1999999999994,-667.1999999999987,-670.3999999999986,-664.3999999999987,183.00000000000128,159.0000000000015,163.00000000000162,163.00000000000168,171.00000000000068,156.00000000000105
5,6,10,1000,4.0,1000,1000,160.0000000000014,162.0000000000015,167.00000000000182,168.00000000000122,148.0000000000009,191.00000000000165,-665.6000000000003,-666.4,-668.3999999999997,-668.8000000000001,-660.8000000000001,-678.0000000000001,160.0000000000014,162.0000000000015,167.00000000000182,168.00000000000122,148.0000000000009,191.00000000000165
5,6,11,1000,5.0,1000,1000,156.00000000000176,162.00000000000165,166.00000000000117,174.00000000000136,176.00000000000142,161.00000000000065,-664.4000000000003,-666.8000000000001,-668.3999999999995,-671.5999999999997,-672.4000000000001,-666.4000000000003,156.00000000000176,162.00000000000165,166.00000000000117,174.00000000000136,176.00000000000142,161.00000000000065
5,6,12,1000,4.0,1000,1000,174.0000000000017,165.0000000000009,162.00000000000134,154.80000000000172,161.00000000000125,179.0000000000014,-671.3599999999997,-667.7599999999998,-666.5599999999993,-663.6000000000003,-666.1599999999996,-673.3600000000006,174.0000000000017,165.0000000000009,162.00000000000134,154.80000000000172,161.00000000000125,179.0000000000014
5,6,13,1000,3.0,1000,1000,154.00000000000142,147.00000000000117,189.00000000000173,157.0000000000012,178.00000000000222,172.00000000000108,-662.8000000000004,-660.0,-676.8000000000002,-664.0000000000005,-672.4000000000013,-670.0,154.00000000000142,147.00000000000117,189.00000000000173,157.0000000000012,178.00000000000222,172.00000000000108
5,6,14,1000,6.0,1000,1000,174.00000000000094,162.00000000000153,176.0000000000015,159.00000000000125,157.00000000000148,166.0000000000018,-672.000000000001,-667.2000000000002,-672.8000000000011,-666.0000000000011,-665.2,-668.8000000000006,174.00000000000094,162.00000000000153,176.0000000000015,159.00000000000125,157.00000000000148,166.0000000000018
5,6,15,1000,6.0,1000,1000,154.00000000000145,156.65000000000148,175.00000000000156,172.00000000000122,166.00000000000153,170.0000000000018,-664.2799999999992,-665.1999999999999,-672.6799999999998,-671.4799999999996,-669.0800000000002,-670.6799999999997,154.00000000000145,156.65000000000148,175.00000000000156,172.00000000000122,166.00000000000153,170.0000000000018
5,6,16,1000,2.0,1000,1000,143.00000000000097,182.00000000000068,172.000000000002,167.00000000000233,165.0000000000015,169.00000000000156,-657.9999999999989,-673.5999999999979,-669.5999999999979,-667.6,-666.7999999999985,-668.3999999999987,143.00000000000097,182.00000000000068,172.000000000002,167.00000000000233,165.0000000000015,169.00000000000156
5,6,17,1000,6.0,1000,1000,157.0000000000014,166.0000000000022,185.00000000000168,155.85000000000167,181.00000000000136,149.00000000000142,-665.3199999999993,-668.9200000000005,-676.5200000000008,-664.8000000000003,-674.9199999999998,-662.1200000000003,157.0000000000014,166.0000000000022,185.00000000000168,155.85000000000167,181.00000000000136,149.00000000000142
5,6,18,1000,5.0,1000,1000,174.00000000000125,153.00000000000122,174.00000000000145,170.00000000000136,159.00000000000102,165.0000000000007,-671.5999999999998,-663.2,-671.6000000000005,-670.0000000000002,-665.5999999999999,-667.9999999999998,174.00000000000125,153.00000000000122,174.00000000000145,170.00000000000136,159.00000000000102,165.0000000000007
5,6,19,1000,5.0,1000,1000,151.00000000000125,155.00000000000122,166.00000000000145,169.00000000000162,182.00000000000153,172.00000000000168,-662.3999999999996,-664.0,-668.3999999999995,-669.5999999999996,-674.8000000000003,-670.8000000000001,151.00000000000125,155.00000000000122,166.00000000000145,169.00000000000162,182.00000000000153,172.00000000000168
5,6,20,1000,3.0,1000,1000,171.00000000000148,154.0000000000008,170.0000000000012,172.00000000000148,168.00000000000196,162.00000000000182,-669.5999999999993,-662.7999999999989,-669.1999999999987,-669.9999999999985,-668.3999999999982,-665.999999999999,171.00000000000148,154.0000000000008,170.0000000000012,172.00000000000148,168.00000000000196,162.00000000000182
5,6,21,1000,7.0,1000,1000,167.0000000000016,167.00000000000156,173.00000000000156,166.00000000000142,154.00000000000094,166.0000000000013,-669.5999999999987,-669.5999999999983,-671.9999999999992,-669.1999999999985,-664.3999999999979,-669.1999999999973,167.0000000000016,167.00000000000156,173.00000000000156,166.00000000000142,154.00000000000094,166.0000000000013
5,6,22,1000,3.0,1000,1000,162.00000000000077,169.00000000000134,160.0000000000011,169.00000000000168,178.00000000000105,159.00000000000097,-665.9999999999989,-668.7999999999993,-665.1999999999998,-668.7999999999988,-672.3999999999988,-664.7999999999995,162.00000000000077,169.00000000000134,160.0000000000011,169.00000000000168,178.00000000000105,159.00000000000097
5,6,23,1000,1.0,1000,1000,176.00000000000182,163.00000000000168,187.00000000000114,156.0000000000013,164.0000000000015,153.00000000000082,-670.8000000000006,-665.5999999999997,-675.1999999999999,-662.7999999999992,-666.0000000000005,-661.5999999999996,176.00000000000182,163.00000000000168,187.00000000000114,156.0000000000013,164.0000000000015,153.00000000000082
