simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
5,6,0,1000,30.0,1000,1000,179.0000000000012,149.00000000000074,136.00000000000006,168.0000000000009,164.0000000000009,174.0000000000008,-683.5999999999989,-671.5999999999981,-666.3999999999997,-679.1999999999991,-677.5999999999989,-681.5999999999989,-252.29999999999987,-261.3,-265.2,-255.59999999999965,-256.7999999999997,-253.79999999999976
5,6,1,1000,23.0,1000,1000,198.80000000000078,194.0000000000009,96.99999999999935,203.00000000000142,171.60000000000107,111.9999999999993,-689.1200000000001,-687.2799999999999,-648.4800000000002,-690.8799999999993,-678.1599999999994,-654.4799999999998,-245.1599999999994,-246.63999999999953,-275.7399999999999,-243.9399999999996,-253.27999999999943,-271.2399999999999
5,6,2,1000,26.0,1000,1000,211.00000000000102,145.0000000000011,124.99999999999933,204.00000000000156,192.00000000000173,96.99999999999936,-694.7999999999992,-668.3999999999996,-660.4000000000005,-691.9999999999995,-687.1999999999994,-649.2,-241.89999999999955,-261.6999999999999,-267.69999999999993,-243.9999999999996,-247.59999999999943,-276.1000000000001
5,6,3,1000,21.0,1000,1000,215.00000000000085,163.00000000000105,96.99999999999953,178.00000000000077,212.00000000000145,113.99999999999902,-694.4000000000018,-673.6000000000022,-647.2000000000006,-679.6000000000015,-693.2000000000014,-653.9999999999998,-239.69999999999877,-255.29999999999927,-275.09999999999945,-250.79999999999902,-240.59999999999897,-269.99999999999966
5,6,4,1000,12.0,1000,1000,187.00000000000193,210.000000000002,82.99999999999956,187.00000000000148,157.00000000000168,164.00000000000134,-679.6000000000005,-688.8000000000003,-637.9999999999989,-679.6000000000001,-667.5999999999996,-670.4,-246.2999999999997,-239.39999999999932,-277.4999999999993,-246.29999999999941,-255.29999999999959,-253.1999999999995
5,6,5,1000,23.0,1000,1000,221.00000000000077,172.0000000000013,81.99999999999972,189.00000000000094,192.00000000000173,120.99999999999932,-697.599999999999,-678.0000000000002,-641.9999999999995,-684.8000000000002,-685.9999999999985,-657.6000000000008,-238.29999999999947,-252.9999999999996,-279.99999999999926,-247.8999999999994,-246.99999999999966,-268.2999999999995
5,6,6,1000,35.0,1000,1000,158.00000000000122,211.00000000000102,55.99999999999977,177.0000000000012,178.00000000000142,185.00000000000182,-677.2000000000003,-698.3999999999987,-636.3999999999997,-684.8000000000011,-685.2000000000003,-688.0,-259.59999999999974,-243.6999999999997,-290.1999999999997,-253.8999999999997,-253.59999999999968,-251.4999999999995
5,6,7,1000,34.0,1000,1000,143.55000000000098,215.90000000000109,90.99999999999943,153.000000000001,167.00000000000094,194.70000000000206,-671.5199999999995,-700.6000000000001,-650.6800000000011,-675.4799999999991,-681.0799999999987,-692.0399999999989,-263.985,-242.3499999999997,-279.84000000000015,-261.23999999999995,-257.0399999999998,-248.6699999999997
5,6,8,1000,31.0,1000,1000,220.00000000000097,207.00000000000125,96.99999999999928,158.00000000000182,130.99999999999946,156.00000000000142,-700.3999999999999,-695.199999999999,-651.1999999999995,-675.6000000000009,-664.8,-674.7999999999993,-240.19999999999962,-244.0999999999996,-277.1000000000003,-258.7999999999998,-266.8999999999998,-259.3999999999996
5,6,9,1000,20.0,1000,1000,189.00000000000105,198.0000000000011,65.99999999999977,149.0000000000011,199.0000000000011,179.00000000000145,-683.5999999999991,-687.1999999999997,-634.3999999999993,-667.5999999999985,-687.5999999999992,-679.5999999999999,-247.2999999999996,-244.59999999999962,-284.19999999999965,-259.2999999999995,-244.29999999999967,-250.29999999999924
5,6,10,1000,18.0,1000,1000,139.0000000000001,239.80000000000132,106.99999999999933,176.00000000000117,182.00000000000125,138.00000000000003,-662.9600000000016,-703.2000000000003,-650.1600000000008,-677.7600000000009,-680.1600000000016,-662.560000000001,-261.9799999999991,-231.69999999999914,-271.5799999999995,-250.879999999999,-249.07999999999902,-262.27999999999923
5,6,11,1000,28.0,1000,1000,157.00000000000142,191.00000000000156,116.99999999999943,164.00000000000097,162.00000000000122,181.00000000000128,-674.0000000000014,-687.6000000000012,-658.0000000000017,-676.8000000000003,-676.0000000000015,-683.6000000000012,-258.4999999999992,-248.2999999999993,-270.4999999999998,-256.39999999999895,-256.9999999999993,-251.299999999999
5,6,12,1000,24.0,1000,1000,105.99999999999935,227.5500000000007,108.99999999999946,184.00000000000162,199.00000000000088,149.35000000000065,-652.8799999999999,-701.3199999999999,-654.0799999999994,-684.0799999999988,-690.0799999999994,-669.9600000000002,-273.4399999999996,-236.88499999999928,-272.53999999999894,-250.03999999999954,-245.5399999999994,-260.3049999999994
5,6,13,1000,32.0,1000,1000,164.00000000000136,193.00000000000102,113.99999999999943,150.00000000000105,167.00000000000114,179.90000000000157,-678.4800000000002,-690.080000000001,-658.4799999999997,-672.8800000000002,-679.6800000000004,-684.8000000000011,-257.2399999999992,-248.53999999999917,-272.2399999999991,-261.4399999999991,-256.33999999999924,-252.44999999999933
5,6,14,1000,17.0,1000,1000,124.99999999999946,213.7000000000014,134.0,119.99999999999929,217.00000000000077,173.000000000002,-657.0400000000001,-692.3999999999997,-660.6399999999998,-655.0399999999997,-693.8399999999996,-676.2399999999994,-266.0199999999994,-239.3499999999995,-263.3199999999995,-267.5199999999995,-238.41999999999936,-251.6199999999995
5,6,15,1000,23.0,1000,1000,129.99999999999957,163.00000000000165,152.00000000000097,169.00000000000125,148.0000000000009,215.00000000000176,-661.1999999999998,-674.3999999999986,-670.0000000000003,-676.8000000000017,-668.4000000000005,-695.1999999999996,-265.5999999999991,-255.69999999999945,-258.99999999999926,-253.8999999999993,-260.1999999999995,-240.09999999999957
5,6,16,1000,19.0,1000,1000,151.00000000000088,217.00000000000136,133.99999999999994,119.99999999999952,200.00000000000094,159.0000000000008,-668.0000000000001,-694.3999999999997,-661.2000000000012,-655.6000000000005,-687.6,-671.2000000000008,-258.49999999999966,-238.69999999999942,-263.5999999999998,-267.7999999999999,-243.79999999999947,-256.0999999999994
5,6,17,1000,20.0,1000,1000,128.99999999999963,238.00000000000128,142.00000000000057,174.0000000000014,145.00000000000054,152.0000000000005,-659.6000000000007,-703.1999999999996,-664.8,-677.6000000000001,-666.0000000000003,-668.8000000000003,-265.2999999999996,-232.59999999999934,-261.39999999999964,-251.79999999999941,-260.4999999999992,-258.3999999999993
5,6,18,1000,21.0,1000,1000,165.00000000000156,227.00000000000125,161.0000000000012,94.99999999999932,226.00000000000057,104.99999999999939,-674.3999999999991,-699.2000000000003,-672.7999999999986,-646.3999999999997,-698.8000000000002,-650.4,-254.6999999999997,-236.09999999999965,-255.89999999999966,-275.7000000000003,-236.3999999999993,-272.70000000000016
5,6,19,1000,21.0,1000,1000,138.00000000000017,162.00000000000142,187.00000000000156,172.0000000000013,176.00000000000097,144.00000000000085,-663.6000000000004,-673.2000000000004,-683.2,-677.1999999999997,-678.8000000000011,-665.9999999999999,-262.799999999999,-255.5999999999989,-248.09999999999926,-252.5999999999991,-251.39999999999912,-260.9999999999991
