simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
9,10,0,576,0.0,250,1000,42.84999999999977,52.99999999999989,43.999999999999886,34.00000000000003,34.55000000000003,40.99999999999992,-493.5599999999994,-497.67999999999876,-494.0799999999988,-490.0799999999988,-490.11999999999887,-492.8799999999994,-225.35499999999954,-222.33999999999955,-225.03999999999962,-228.03999999999942,-227.7849999999996,-225.9399999999995
9,10,1,427,0.0,250,1000,13.999999999999998,22.00000000000003,23.00000000000004,53.99999999999988,60.54999999999983,75.99999999999973,-332.95999999999964,-336.15999999999985,-336.56,-348.95999999999947,-351.39999999999975,-357.7599999999997,-159.47999999999988,-157.07999999999984,-156.78000000000003,-147.48,-145.42499999999998,-140.88000000000008
9,10,2,389,0.0,250,1000,22.000000000000036,23.55000000000003,39.999999999999844,37.99999999999994,74.99999999999991,50.999999999999794,-298.16000000000014,-298.60000000000025,-305.36000000000024,-304.5599999999999,-319.35999999999984,-309.75999999999965,-138.08000000000013,-137.525,-132.67999999999998,-133.28,-122.17999999999999,-129.38000000000005
9,10,3,458,0.0,250,1000,31.00000000000001,32.00000000000003,38.54999999999997,68.99999999999982,34.99999999999991,43.99999999999989,-370.7599999999998,-371.1599999999998,-373.5999999999997,-385.95999999999924,-372.3599999999996,-375.95999999999964,-169.87999999999994,-169.5799999999998,-167.52499999999984,-158.47999999999988,-168.67999999999992,-165.97999999999993
9,10,4,385,0.0,250,1000,15.000000000000009,51.54999999999987,31.000000000000092,70.99999999999983,34.99999999999999,45.99999999999988,-291.35999999999973,-305.7999999999997,-297.7599999999997,-313.76,-299.35999999999973,-303.75999999999993,-138.17999999999992,-127.12499999999997,-133.37999999999994,-121.38000000000004,-132.1799999999999,-128.88000000000014
9,10,5,338,0.0,250,1000,20.000000000000018,46.99999999999983,67.54999999999991,54.99999999999994,24.00000000000001,35.99999999999995,-246.36000000000035,-257.16000000000037,-265.20000000000016,-260.36000000000007,-247.9600000000001,-252.75999999999996,-113.18000000000009,-105.07999999999997,-98.825,-102.68,-111.97999999999993,-108.37999999999982
9,10,6,470,0.0,250,1000,14.000000000000023,56.99999999999986,63.999999999999964,61.999999999999865,13.000000000000021,39.54999999999994,-375.95999999999947,-393.1599999999998,-395.95999999999975,-395.15999999999957,-375.55999999999966,-385.99999999999955,-180.97999999999982,-168.07999999999973,-165.97999999999976,-166.57999999999984,-181.27999999999972,-173.22499999999977
9,10,7,349,0.0,250,1000,14.00000000000001,55.99999999999982,56.99999999999995,62.54999999999985,7.999999999999995,51.99999999999983,-254.95999999999975,-271.7599999999998,-272.1599999999996,-274.1999999999998,-252.55999999999966,-270.16,-120.47999999999989,-107.87999999999991,-107.57999999999993,-105.82499999999989,-122.27999999999987,-109.07999999999996
9,10,8,410,0.0,250,1000,28.000000000000046,42.99999999999985,36.99999999999992,65.5499999999999,14.000000000000023,61.999999999999815,-321.55999999999926,-327.55999999999926,-325.15999999999923,-336.39999999999964,-315.9599999999998,-335.1599999999994,-146.77999999999992,-142.27999999999992,-144.07999999999987,-135.42499999999984,-150.97999999999988,-136.57999999999976
9,10,9,332,0.0,250,1000,37.54999999999992,54.99999999999988,35.99999999999989,60.99999999999978,11.00000000000001,48.99999999999994,-247.20000000000022,-254.36000000000004,-246.76000000000022,-256.7599999999999,-236.76,-251.96,-104.825,-99.67999999999998,-105.38000000000007,-97.87999999999995,-112.87999999999998,-101.47999999999989
