simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5
5,6,0,481,0.0,250,1000,40.54999999999993,49.99999999999992,42.000000000000036,48.99999999999978,35.00000000000002,33.00000000000004,-397.3999999999995,-401.3599999999999,-398.15999999999957,-400.9599999999997,-395.3599999999996,-394.5599999999997,-178.4249999999999,-175.67999999999986,-178.0799999999998,-175.97999999999985,-180.17999999999984,-180.77999999999992
5,6,1,430,0.0,250,1000,73.54999999999984,34.99999999999996,19.000000000000007,52.99999999999995,53.99999999999982,15.000000000000043,-359.59999999999934,-344.35999999999996,-337.9599999999997,-351.55999999999955,-351.95999999999987,-336.35999999999984,-143.02500000000006,-154.6799999999998,-159.48,-149.27999999999994,-148.97999999999988,-160.68
5,6,2,465,0.0,250,1000,64.99999999999983,58.99999999999983,18.55000000000002,53.99999999999989,32.00000000000003,21.000000000000043,-391.3599999999991,-388.96000000000004,-372.6000000000001,-386.9599999999993,-378.15999999999957,-373.7599999999997,-163.1799999999998,-164.98000000000016,-177.02499999999995,-166.48000000000005,-173.07999999999984,-176.37999999999974
5,6,3,537,0.0,250,1000,32.99999999999999,58.999999999999915,54.999999999999886,21.000000000000036,55.54999999999995,26.00000000000004,-450.5599999999997,-460.9599999999998,-459.3600000000002,-445.7599999999998,-459.3999999999998,-447.7599999999997,-208.77999999999997,-200.98000000000002,-202.17999999999995,-212.38000000000005,-201.9250000000001,-210.87999999999997
5,6,4,377,0.0,250,1000,47.39999999999991,58.999999999999886,45.99999999999987,19.000000000000025,58.999999999999844,19.00000000000003,-296.2000000000003,-301.0800000000001,-295.88000000000005,-285.08,-301.08,-285.0800000000001,-124.4000000000001,-121.04000000000005,-124.9400000000001,-133.03999999999994,-121.04000000000005,-133.04000000000005
5,6,5,368,0.0,250,1000,62.999999999999886,61.99999999999992,44.999999999999915,27.0,20.000000000000036,32.550000000000054,-293.55999999999955,-293.1599999999997,-286.3599999999997,-279.15999999999974,-276.3599999999999,-281.1999999999997,-115.28000000000003,-115.58000000000003,-120.67999999999995,-126.07999999999996,-128.17999999999992,-124.32499999999996
5,6,6,284,0.0,250,1000,35.99999999999993,45.99999999999997,64.99999999999984,27.000000000000036,31.150000000000045,43.94999999999988,-199.11999999999995,-203.1199999999998,-210.71999999999986,-195.51999999999984,-196.84,-202.27999999999975,-81.55999999999996,-78.55999999999989,-72.8599999999999,-84.25999999999985,-82.84499999999998,-79.16499999999994
5,6,7,326,0.0,250,1000,19.000000000000046,56.99999999999991,62.999999999999964,61.9999999999999,29.450000000000077,19.000000000000007,-234.03999999999996,-249.2399999999999,-251.64000000000001,-251.23999999999984,-238.00000000000006,-234.03999999999976,-107.51999999999992,-96.1199999999999,-94.31999999999988,-94.61999999999992,-104.27499999999985,-107.5199999999998
5,6,8,327,0.0,250,1000,32.00000000000004,52.99999999999992,45.99999999999994,32.55000000000003,53.9999999999999,32.000000000000064,-240.1600000000001,-248.5600000000002,-245.76000000000025,-240.2000000000001,-248.96000000000012,-240.16000000000005,-104.07999999999991,-97.77999999999992,-99.88000000000002,-103.82500000000002,-97.48000000000005,-104.07999999999997
5,6,9,371,0.0,250,1000,31.00000000000002,58.54999999999991,48.999999999999865,31.000000000000046,33.999999999999986,45.99999999999991,-283.75999999999993,-294.5999999999998,-290.9599999999998,-283.75999999999965,-284.95999999999964,-289.7599999999997,-126.37999999999995,-118.02499999999996,-120.98000000000006,-126.38,-125.48,-121.88
5,6,10,487,0.0,250,1000,29.00000000000003,38.99999999999992,72.99999999999977,14.000000000000027,58.999999999999964,35.54999999999999,-398.95999999999975,-402.9600000000001,-416.55999999999943,-392.95999999999987,-410.9599999999995,-401.3999999999997,-184.98,-181.9800000000001,-171.77999999999994,-189.48,-175.9800000000002,-182.92500000000004
5,6,11,440,0.0,250,1000,26.550000000000033,34.99999999999999,43.99999999999989,42.99999999999993,59.99999999999986,40.999999999999886,-350.80000000000007,-354.36000000000007,-357.9599999999998,-357.5599999999998,-364.3600000000001,-356.7599999999999,-162.1249999999999,-159.6799999999998,-156.97999999999988,-157.27999999999983,-152.17999999999986,-157.87999999999982
5,6,12,288,0.0,250,1000,42.54999999999988,60.99999999999983,54.99999999999994,18.00000000000003,55.9999999999999,17.00000000000003,-205.20000000000007,-212.76000000000013,-210.35999999999996,-195.56000000000014,-210.75999999999996,-195.15999999999983,-81.32499999999996,-75.87999999999998,-77.67999999999996,-88.78000000000009,-77.38000000000002,-89.07999999999984
5,6,13,394,0.0,250,1000,48.99999999999994,45.999999999999886,49.999999999999844,34.55000000000003,45.999999999999815,24.00000000000002,-313.96000000000026,-312.76,-314.35999999999996,-308.0,-312.76000000000016,-303.95999999999987,-132.4799999999999,-133.37999999999988,-132.1799999999999,-136.72499999999988,-133.37999999999997,-139.97999999999988
5,6,14,481,0.0,250,1000,42.549999999999905,54.999999999999844,61.9999999999999,12.000000000000005,32.00000000000003,45.999999999999936,-398.2,-403.35999999999996,-406.1599999999999,-386.1599999999998,-394.15999999999985,-399.75999999999993,-177.82500000000002,-174.17999999999998,-172.07999999999996,-187.07999999999996,-181.07999999999993,-176.8799999999999
5,6,15,478,0.0,250,1000,41.999999999999865,29.000000000000025,54.99999999999989,22.00000000000005,61.54999999999992,39.99999999999994,-395.15999999999957,-389.95999999999964,-400.3599999999997,-387.15999999999974,-402.8000000000002,-394.3599999999998,-176.57999999999998,-180.47999999999996,-172.6800000000001,-182.58,-170.62500000000003,-177.18000000000006
5,6,16,330,0.0,250,1000,43.99999999999991,18.00000000000003,61.999999999999865,41.39999999999991,31.000000000000057,52.99999999999985,-248.07999999999993,-237.67999999999998,-255.2799999999999,-246.79999999999973,-242.87999999999994,-251.6799999999999,-102.03999999999999,-109.83999999999993,-96.63999999999999,-102.69999999999992,-105.93999999999994,-99.33999999999983
5,6,17,474,0.0,250,1000,43.999999999999915,42.99999999999996,42.54999999999988,14.000000000000028,51.99999999999994,53.99999999999998,-391.9599999999997,-391.5599999999996,-391.19999999999993,-379.95999999999987,-395.1599999999997,-395.9599999999997,-173.98,-174.27999999999997,-174.32499999999996,-182.97999999999982,-171.57999999999993,-170.98000000000002
5,6,18,598,0.0,250,1000,41.999999999999886,8.999999999999996,32.00000000000002,24.00000000000003,69.54999999999983,72.99999999999974,-515.1600000000001,-501.96,-511.1599999999997,-507.9599999999998,-526.0,-527.56,-236.57999999999984,-246.47999999999988,-239.57999999999979,-241.97999999999982,-228.2249999999997,-227.2800000000001
5,6,19,340,0.0,250,1000,38.999999999999936,44.99999999999987,33.00000000000003,33.999999999999964,51.99999999999986,46.54999999999987,-255.95999999999992,-258.3599999999998,-253.55999999999983,-253.95999999999972,-261.1599999999998,-258.7999999999997,-108.48,-106.68000000000002,-110.28000000000002,-109.97999999999992,-104.58000000000004,-106.12500000000003
5,6,20,355,0.0,250,1000,37.999999999999936,60.999999999999936,35.999999999999936,25.00000000000003,45.99999999999988,43.54999999999991,-270.56000000000034,-279.7600000000003,-269.7600000000003,-265.3600000000003,-273.76000000000016,-272.60000000000025,-116.28000000000019,-109.38000000000001,-116.88000000000007,-120.1800000000001,-113.88,-114.52500000000009
5,6,21,468,0.0,250,1000,44.99999999999987,29.000000000000053,38.999999999999886,24.550000000000047,68.99999999999982,42.99999999999981,-386.35999999999956,-379.95999999999947,-383.95999999999873,-377.99999999999994,-395.9599999999994,-385.55999999999904,-170.67999999999998,-175.48000000000002,-172.48,-176.72500000000002,-163.4800000000001,-171.28
5,6,22,304,0.0,250,1000,40.9999999999999,48.99999999999993,45.549999999999955,28.000000000000057,44.999999999999915,40.74999999999987,-220.9600000000001,-224.16000000000003,-222.59999999999997,-215.75999999999993,-222.56000000000003,-220.7600000000002,-89.97999999999988,-87.58,-88.5249999999998,-93.87999999999994,-88.77999999999989,-90.00500000000001
5,6,23,393,0.0,250,1000,42.549999999999926,61.99999999999984,47.999999999999865,31.00000000000002,54.999999999999794,11.000000000000009,-310.1999999999998,-318.15999999999946,-312.5599999999995,-305.76000000000005,-315.35999999999973,-297.76,-133.82499999999987,-128.07999999999996,-132.27999999999986,-137.38000000000005,-130.18000000000006,-143.37999999999994
5,6,24,416,0.0,250,1000,47.999999999999865,45.99999999999991,24.000000000000057,23.000000000000032,61.99999999999992,46.54999999999995,-335.55999999999995,-334.7599999999999,-325.9600000000002,-325.55999999999995,-341.1599999999998,-334.8000000000001,-143.77999999999983,-144.37999999999988,-150.97999999999993,-151.27999999999983,-139.57999999999987,-144.1249999999999
5,6,25,300,0.0,250,1000,45.99999999999992,38.99999999999988,44.54999999999989,23.000000000000007,44.99999999999989,51.999999999999936,-218.76000000000002,-215.96,-218.00000000000006,-209.56000000000003,-218.3600000000001,-221.16,-86.38000000000002,-88.47999999999995,-86.72500000000001,-93.28000000000002,-86.68000000000009,-84.58000000000003
5,6,26,438,0.0,250,1000,49.549999999999926,41.999999999999886,32.00000000000002,49.99999999999991,29.000000000000075,46.99999999999987,-358.0,-355.16000000000025,-351.16000000000014,-358.3600000000003,-349.9600000000001,-357.16000000000014,-154.22500000000008,-156.57999999999996,-159.57999999999996,-154.18000000000006,-160.48,-155.08000000000007
5,6,27,408,0.0,250,1000,43.99999999999985,56.99999999999996,47.54999999999996,14.000000000000014,42.999999999999844,43.99999999999987,-325.96000000000026,-331.16000000000025,-327.20000000000033,-313.96,-325.56000000000023,-325.96000000000026,-140.98000000000016,-137.08,-139.82500000000013,-149.97999999999988,-141.28,-140.98000000000005
5,6,28,427,0.0,250,1000,40.549999999999926,49.99999999999987,56.9999999999999,23.00000000000002,52.999999999999886,26.000000000000057,-343.3999999999996,-347.3599999999998,-350.15999999999985,-336.56000000000006,-348.5599999999999,-337.7599999999997,-151.4249999999998,-148.6799999999998,-146.5799999999999,-156.78,-147.77999999999994,-155.87999999999994
5,6,29,321,0.0,250,1000,43.99999999999989,38.999999999999915,46.99999999999992,40.9999999999999,55.99999999999993,22.550000000000026,-238.9599999999999,-236.95999999999995,-240.1599999999998,-237.7599999999999,-243.75999999999988,-230.20000000000005,-97.48,-98.98000000000002,-96.57999999999991,-98.38000000000002,-93.88000000000007,-103.82500000000005
