step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
0,2998.0,[-1.],0,0.0,-0.9285714285714286,-0.9285714285714286,[-1.],1,0.37,-0.9642857142857143,-0.5942857142857143,[-1.],0,0.0,-0.9285714285714286,-0.9285714285714286,[-1.],0,0.0,-0.9285714285714286,-0.9285714285714286,[-1.],1,0.37,-0.9642857142857143,-0.5942857142857143
1,2994.0,[-0.95],1,0.37,-0.8214285714285715,-0.4514285714285715,[-0.975],0,0.06999999999999999,-0.8214285714285715,-0.7514285714285716,[-0.95],1,0.37,-0.8214285714285715,-0.4514285714285715,[-0.95],1,0.37,-0.8214285714285715,-0.4514285714285715,[-0.975],1,0.43999999999999995,-0.8571428571428572,-0.41714285714285726
2,2991.0,[-0.85],0,0.06999999999999999,-0.7142857142857144,-0.6442857142857145,[-0.85],1,0.43999999999999995,-0.75,-0.31000000000000005,[-0.85],0,0.06999999999999999,-0.7142857142857144,-0.6442857142857145,[-0.85],1,0.43999999999999995,-0.75,-0.31000000000000005,[-0.9],1,0.51,-0.7857142857142858,-0.2757142857142858
3,2988.0,[-0.725],1,0.43999999999999995,-0.6428571428571428,-0.20285714285714285,[-0.775],1,0.51,-0.6785714285714286,-0.1685714285714286,[-0.725],0,0.06999999999999999,-0.6071428571428571,-0.5371428571428571,[-0.775],0,0.13999999999999999,-0.6428571428571428,-0.5028571428571428,[-0.8],1,0.58,-0.7142857142857143,-0.13428571428571434
4,2987.0,[-0.65],0,0.13999999999999999,-0.6071428571428571,-0.4671428571428571,[-0.675],0,0.21,-0.6428571428571429,-0.43285714285714294,[-0.6],0,0.06999999999999999,-0.5714285714285714,-0.5014285714285714,[-0.65],0,0.13999999999999999,-0.6071428571428571,-0.4671428571428571,[-0.725],1,0.6499999999999999,-0.7142857142857143,-0.06428571428571439
5,2985.0,[-0.625],0,0.13999999999999999,-0.5357142857142857,-0.3957142857142857,[-0.65],0,0.21,-0.5714285714285715,-0.36142857142857154,[-0.575],0,0.06999999999999999,-0.49999999999999994,-0.42999999999999994,[-0.625],1,0.51,-0.5714285714285714,-0.06142857142857139,[-0.725],1,0.72,-0.6785714285714286,0.04142857142857137
6,2984.0,[-0.55],0,0.13999999999999999,-0.5,-0.36,[-0.575],0,0.21,-0.5357142857142858,-0.32571428571428584,[-0.5],0,0.06999999999999999,-0.46428571428571425,-0.39428571428571424,[-0.575],0,0.21,-0.5357142857142857,-0.32571428571428573,[-0.7],1,0.7899999999999999,-0.6785714285714286,0.11142857142857132
7,2983.0,[-0.525],0,0.13999999999999999,-0.4642857142857143,-0.3242857142857143,[-0.55],0,0.21,-0.5,-0.29000000000000004,[-0.475],0,0.06999999999999999,-0.4285714285714285,-0.3585714285714285,[-0.55],1,0.58,-0.5357142857142857,0.04428571428571426,[-0.7],0,0.48999999999999994,-0.6428571428571428,-0.15285714285714286
8,2980.0,[-0.475],1,0.51,-0.3928571428571428,0.11714285714285722,[-0.5],0,0.21,-0.3928571428571428,-0.1828571428571428,[-0.425],1,0.43999999999999995,-0.3571428571428571,0.08285714285714285,[-0.55],1,0.6499999999999999,-0.4642857142857143,0.1857142857142856,[-0.65],0,0.48999999999999994,-0.5357142857142857,-0.04571428571428576
9,2978.0,[-0.4],0,0.21,-0.2738095238095237,-0.06380952380952373,[-0.4],0,0.21,-0.2738095238095237,-0.06380952380952373,[-0.375],0,0.13999999999999999,-0.238095238095238,-0.09809523809523801,[-0.475],1,0.72,-0.38095238095238093,0.33904761904761904,[-0.55],1,0.8599999999999999,-0.5,0.3599999999999999
10,2975.0,[-0.275],0,0.21,-0.238095238095238,-0.028095238095238007,[-0.275],1,0.51,-0.238095238095238,0.271904761904762,[-0.25],0,0.13999999999999999,-0.2023809523809523,-0.062380952380952315,[-0.4],1,0.7899999999999999,-0.38095238095238093,0.409047619047619,[-0.5],1,0.8599999999999999,-0.4642857142857143,0.3957142857142856
11,2973.0,[-0.25],1,0.51,-0.3571428571428571,0.1528571428571429,[-0.25],0,0.21,-0.3571428571428571,-0.1471428571428571,[-0.225],1,0.43999999999999995,-0.3214285714285714,0.11857142857142855,[-0.4],0,0.42,-0.4642857142857143,-0.04428571428571432,[-0.475],0,0.48999999999999994,-0.5,-0.010000000000000064
