step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
0,2998.0,[-1.],0,0.0,-0.8999999999999999,-0.8999999999999999,[-1.],1,0.37,-0.95,-0.95,[-1.],0,0.0,-0.8999999999999999,-0.8999999999999999,[-1.],0,0.0,-0.8999999999999999,-0.8999999999999999,[-1.],1,0.37,-0.95,-0.95
1,2994.0,[-0.9],1,0.37,-0.7500000000000001,-0.7500000000000001,[-0.95],0,0.06999999999999999,-0.7500000000000001,-0.7500000000000001,[-0.9],1,0.37,-0.7500000000000001,-0.7500000000000001,[-0.9],1,0.37,-0.7500000000000001,-0.7500000000000001,[-0.95],1,0.43999999999999995,-0.8,-0.8
2,2991.0,[-0.75],0,0.06999999999999999,-0.6,-0.6,[-0.75],1,0.43999999999999995,-0.65,-0.65,[-0.75],0,0.06999999999999999,-0.6,-0.6,[-0.75],1,0.43999999999999995,-0.65,-0.65,[-0.8],1,0.51,-0.7000000000000001,-0.7000000000000001
3,2988.0,[-0.6],1,0.43999999999999995,-0.5,-0.5,[-0.65],1,0.51,-0.55,-0.55,[-0.6],0,0.06999999999999999,-0.45,-0.45,[-0.65],0,0.13999999999999999,-0.5,-0.5,[-0.7],1,0.58,-0.6,-0.6
4,2987.0,[-0.5],0,0.13999999999999999,-0.45000000000000007,-0.45000000000000007,[-0.55],0,0.21,-0.5,-0.5,[-0.45],0,0.06999999999999999,-0.4,-0.4,[-0.5],0,0.13999999999999999,-0.45,-0.45,[-0.6],1,0.6499999999999999,-0.6,-0.6
5,2985.0,[-0.45],0,0.13999999999999999,-0.35000000000000003,-0.35000000000000003,[-0.5],0,0.21,-0.39999999999999997,-0.39999999999999997,[-0.4],0,0.06999999999999999,-0.3,-0.3,[-0.45],1,0.51,-0.4,-0.4,[-0.6],1,0.72,-0.55,-0.55
6,2984.0,[-0.35],0,0.13999999999999999,-0.30000000000000004,-0.30000000000000004,[-0.4],0,0.21,-0.35,-0.35,[-0.3],0,0.06999999999999999,-0.25,-0.25,[-0.4],0,0.21,-0.35000000000000003,-0.35000000000000003,[-0.55],1,0.7899999999999999,-0.55,-0.55
7,2983.0,[-0.3],0,0.13999999999999999,-0.25000000000000006,-0.25000000000000006,[-0.35],0,0.21,-0.3,-0.3,[-0.25],0,0.06999999999999999,-0.2,-0.2,[-0.35],1,0.58,-0.35000000000000003,-0.35000000000000003,[-0.55],0,0.48999999999999994,-0.5,-0.5
8,2980.0,[-0.25],1,0.51,-0.15000000000000002,-0.15000000000000002,[-0.3],0,0.21,-0.15000000000000002,-0.15000000000000002,[-0.2],1,0.43999999999999995,-0.10000000000000003,-0.10000000000000003,[-0.35],1,0.6499999999999999,-0.25,-0.25,[-0.5],0,0.48999999999999994,-0.35,-0.35
9,2978.0,[-0.15],0,0.21,-0.04999999999999999,-0.04999999999999999,[-0.15],0,0.21,-0.04999999999999999,-0.04999999999999999,[-0.1],0,0.13999999999999999,0.0,0.0,[-0.25],1,0.72,-0.19999999999999996,-0.19999999999999996,[-0.35],1,0.8599999999999999,-0.3,-0.3
