simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5,simulation_index,episodes,emotion,see_emotions,alpha,beta,smoothing,threshold,rounder,learning_rate,gamma,epsilon,epsilon_decay,epsilon_min,batch_size,hidden_size,update_target_every,random_suffix,suffix,source
0,0,0,1000,2.0,500,1000,93.99999999999928,86.9999999999993,78.99999999999945,77.99999999999953,86.99999999999929,72.99999999999952,-838.3999999999994,-835.6000000000001,-832.4000000000019,-832.0000000000014,-835.600000000001,-830.0,-372.19999999999976,-374.2999999999999,-376.6999999999998,-376.99999999999966,-374.29999999999967,-378.4999999999997,0,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,164985,episode_summary,gametheoretic
0,0,1,1000,0.0,500,1000,83.99999999999943,85.99999999999942,83.9999999999994,86.9999999999996,89.99999999999943,68.99999999999972,-833.6000000000008,-834.4000000000005,-833.600000000001,-834.8000000000014,-836.0000000000006,-827.6,-374.7999999999993,-374.1999999999993,-374.7999999999994,-373.8999999999993,-372.9999999999994,-379.2999999999994,0,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,164985,episode_summary,gametheoretic
1,1,0,1000,1.0,500,1000,78.99999999999956,91.99999999999928,88.99999999999942,85.99999999999929,74.99999999999953,77.99999999999966,-831.9999999999989,-837.1999999999991,-835.9999999999993,-834.7999999999993,-830.3999999999993,-831.6000000000001,-376.4999999999997,-372.5999999999999,-373.49999999999983,-374.4000000000001,-377.6999999999998,-376.7999999999996,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,1,1000,2.0,500,1000,88.99999999999937,84.9999999999995,78.99999999999952,70.99999999999972,88.99999999999955,84.9999999999994,-836.4000000000001,-834.7999999999993,-832.3999999999996,-829.1999999999995,-836.3999999999995,-834.8000000000003,-373.6999999999993,-374.8999999999992,-376.6999999999993,-379.0999999999991,-373.6999999999991,-374.8999999999991,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,2,1000,1.0,500,1000,76.99999999999962,73.99999999999972,85.99999999999935,88.99999999999939,77.99999999999939,94.9999999999992,-831.1999999999996,-830.0000000000001,-834.8,-836.0000000000007,-831.5999999999992,-838.3999999999994,-377.10000000000014,-378.0,-374.4000000000003,-373.50000000000017,-376.8000000000003,-371.7000000000001,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,3,1000,3.0,500,1000,87.99999999999947,90.99999999999945,76.99999999999939,75.99999999999947,87.99999999999949,76.99999999999953,-836.3999999999986,-837.5999999999992,-831.9999999999984,-831.5999999999995,-836.3999999999997,-831.999999999998,-374.1999999999996,-373.2999999999997,-377.49999999999966,-377.7999999999996,-374.1999999999997,-377.4999999999997,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,4,1000,3.0,500,1000,86.99999999999959,76.99999999999947,79.99999999999955,88.99999999999936,74.99999999999947,88.99999999999949,-835.9999999999992,-831.9999999999991,-833.1999999999997,-836.8000000000001,-831.1999999999992,-836.8000000000002,-374.5,-377.4999999999999,-376.6,-373.9,-378.1000000000001,-373.9000000000001,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,5,1000,1.0,500,1000,78.99999999999942,62.99999999999965,72.99999999999972,91.99999999999964,87.99999999999956,103.99999999999908,-831.9999999999987,-825.5999999999991,-829.599999999999,-837.1999999999998,-835.5999999999997,-841.9999999999989,-376.50000000000017,-381.2999999999999,-378.2999999999999,-372.60000000000014,-373.8000000000002,-369.0000000000002,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,6,1000,2.0,500,1000,74.99999999999957,73.9999999999996,85.99999999999963,85.99999999999928,83.9999999999994,92.99999999999956,-830.7999999999982,-830.3999999999992,-835.1999999999987,-835.1999999999979,-834.3999999999991,-837.9999999999989,-377.8999999999996,-378.1999999999997,-374.5999999999997,-374.5999999999995,-375.1999999999996,-372.49999999999983,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
1,1,7,1000,4.0,500,1000,74.99999999999953,69.99999999999962,80.99999999999946,83.99999999999943,94.99999999999925,90.99999999999928,-831.6000000000004,-829.6000000000006,-834.0000000000005,-835.2000000000007,-839.6000000000009,-838.0000000000001,-378.3000000000004,-379.8000000000004,-376.50000000000045,-375.60000000000025,-372.30000000000047,-373.50000000000057,1,10,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,430041,episode_summary,gametheoretic
