simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,action_0,action_1,action_2,personal_reward_0,personal_reward_1,personal_reward_2,empathic_reward_0,empathic_reward_1,empathic_reward_2,total_reward_0,total_reward_1,total_reward_2
0,0,0,0,98.0,100,500,[-1.],0,0.0,-0.8,-0.4,[-1.],1,0.55,-0.9,-0.175,[-1.],1,0.55,-0.9,-0.175
0,0,0,1,97.0,100,500,[-0.8],1,0.55,-0.8,-0.125,[-0.9],0,0.05,-0.8,-0.375,[-0.9],0,0.05,-0.8,-0.375
0,0,0,2,95.0,100,500,[-0.8],1,0.6,-0.7,-0.04999999999999999,[-0.8],1,0.6,-0.7,-0.04999999999999999,[-0.8],0,0.05,-0.6,-0.27499999999999997
0,0,0,3,94.0,100,500,[-0.7],1,0.65,-0.7,-0.024999999999999967,[-0.7],0,0.1,-0.6000000000000001,-0.25000000000000006,[-0.6],0,0.05,-0.5,-0.225
0,0,0,4,91.0,100,500,[-0.7],1,0.7,-0.5,0.09999999999999998,[-0.6],1,0.65,-0.39999999999999997,0.12500000000000003,[-0.5],1,0.6,-0.3,0.15
0,0,0,5,89.0,100,500,[-0.5],1,0.75,-0.39999999999999997,0.17500000000000002,[-0.4],1,0.7,-0.3,0.19999999999999998,[-0.3],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,6,88.0,100,500,[-0.4],0,0.25,-0.3,-0.024999999999999994,[-0.3],0,0.2,-0.2,0.0,[-0.1],1,0.65,-0.09999999999999998,0.275
0,0,0,7,87.0,100,500,[-0.3],0,0.25,-0.19999999999999996,0.025000000000000022,[-0.2],0,0.2,-0.09999999999999998,0.05000000000000002,[-0.1],1,0.7,-0.09999999999999998,0.3
0,0,0,8,86.0,100,500,[-0.2],0,0.25,-0.09999999999999998,0.07500000000000001,[-0.1],0,0.2,0.0,0.1,[-0.1],1,0.75,-0.09999999999999998,0.325
0,0,0,9,84.0,100,500,[-0.1],1,0.8,0.0,0.4,[0.],0,0.2,0.19999999999999996,0.19999999999999998,[-0.1],1,0.8,0.0,0.4
0,0,0,10,82.0,100,500,[0.],1,0.85,-0.09999999999999998,0.375,[0.2],1,0.7,0.19999999999999996,0.44999999999999996,[0.],0,0.25,0.09999999999999998,0.175
0,0,0,11,80.0,100,500,[-0.1],1,0.85,0.0,0.425,[0.2],1,0.75,0.19999999999999996,0.475,[0.1],0,0.25,0.19999999999999996,0.22499999999999998
0,0,0,12,79.0,100,500,[0.],0,0.3,0.0,0.15,[0.2],1,0.75,0.09999999999999998,0.425,[0.2],0,0.25,0.09999999999999998,0.175
0,0,0,13,78.0,100,500,[0.],0,0.25,0.09999999999999998,0.175,[0.1],0,0.25,0.09999999999999998,0.175,[0.1],1,0.8,0.0,0.4
0,0,0,14,78.0,100,500,[0.1],0,0.2,-0.09999999999999998,0.05000000000000002,[0.1],0,0.2,-0.09999999999999998,0.05000000000000002,[0.],0,0.25,-0.19999999999999996,0.025000000000000022
0,0,0,15,76.0,100,500,[-0.1],1,0.7,-0.09999999999999998,0.3,[-0.1],1,0.7,-0.09999999999999998,0.3,[-0.2],0,0.25,-0.19999999999999996,0.025000000000000022
0,0,0,16,75.0,100,500,[-0.1],1,0.2,-0.09999999999999998,0.05000000000000002,[-0.1],1,0.75,-0.19999999999999996,0.275,[-0.2],0,0.2,-0.09999999999999998,0.05000000000000002
0,0,0,17,75.0,100,500,[-0.1],0,0.2,-0.2,0.0,[-0.2],1,0.25,-0.3,-0.024999999999999994,[-0.1],0,0.15,-0.09999999999999998,0.02500000000000001
0,0,0,18,73.0,100,500,[-0.2],1,0.75,-0.2,0.275,[-0.3],0,0.25,-0.2,0.024999999999999994,[-0.1],1,0.65,0.0,0.325
0,0,0,19,73.0,100,500,[-0.2],0,0.2,-0.3,-0.04999999999999999,[-0.2],0,0.25,-0.39999999999999997,-0.07499999999999998,[0.],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,20,72.0,100,500,[-0.3],0,0.15,-0.3,-0.075,[-0.4],1,0.75,-0.5,0.125,[-0.1],0,0.1,-0.2,-0.05
0,0,0,21,69.0,100,500,[-0.3],1,0.65,-0.2,0.225,[-0.5],1,0.75,-0.4,0.175,[-0.2],1,0.65,-0.2,0.225
0,0,0,22,69.0,100,500,[-0.2],0,0.15,-0.3,-0.075,[-0.4],0,0.2,-0.4,-0.1,[-0.2],0,0.15,-0.3,-0.075
0,0,0,23,68.0,100,500,[-0.3],0,0.15,-0.3,-0.075,[-0.4],0,0.2,-0.4,-0.1,[-0.3],1,0.65,-0.3,0.17500000000000002
0,0,0,24,67.0,100,500,[-0.3],1,0.7,-0.3,0.19999999999999998,[-0.4],0,0.2,-0.3,-0.04999999999999999,[-0.3],1,0.15,-0.19999999999999996,-0.02499999999999998
0,0,0,25,67.0,100,500,[-0.3],0,0.15,-0.4,-0.125,[-0.3],1,0.15,-0.4,-0.125,[-0.2],1,0.15,-0.4,-0.125
0,0,0,26,66.0,100,500,[-0.4],1,0.7,-0.5,0.09999999999999998,[-0.4],0,0.1,-0.3,-0.09999999999999999,[-0.4],0,0.15,-0.39999999999999997,-0.12499999999999999
0,0,0,27,66.0,100,500,[-0.5],1,0.2,-0.5,-0.15,[-0.3],0,0.1,-0.3,-0.09999999999999999,[-0.4],1,0.15,-0.39999999999999997,-0.12499999999999999
0,0,0,28,65.0,100,500,[-0.5],0,0.15,-0.5,-0.175,[-0.3],1,0.65,-0.5,0.07500000000000001,[-0.4],0,0.1,-0.4,-0.15000000000000002
0,0,0,29,65.0,100,500,[-0.5],0,0.15,-0.5,-0.175,[-0.5],0,0.15,-0.5,-0.175,[-0.4],0,0.1,-0.4,-0.15000000000000002
0,0,0,30,63.0,100,500,[-0.5],1,0.7,-0.5,0.09999999999999998,[-0.5],1,0.65,-0.39999999999999997,0.12500000000000003,[-0.4],0,0.1,-0.3,-0.09999999999999999
0,0,0,31,61.0,100,500,[-0.5],1,0.7,-0.6,0.04999999999999999,[-0.4],0,0.1,-0.39999999999999997,-0.14999999999999997,[-0.3],1,0.6,-0.39999999999999997,0.1
0,0,0,32,60.0,100,500,[-0.6],0,0.2,-0.5,-0.15,[-0.4],1,0.65,-0.39999999999999997,0.12500000000000003,[-0.4],0,0.1,-0.3,-0.09999999999999999
0,0,0,33,60.0,100,500,[-0.5],1,0.2,-0.6000000000000001,-0.20000000000000004,[-0.4],1,0.15,-0.5,-0.175,[-0.3],0,0.05,-0.3,-0.125
0,0,0,34,58.0,100,500,[-0.6],0,0.15,-0.39999999999999997,-0.12499999999999999,[-0.5],1,0.7,-0.5,0.09999999999999998,[-0.3],1,0.6,-0.3,0.15
0,0,0,35,56.0,100,500,[-0.4],1,0.7,-0.3,0.19999999999999998,[-0.5],1,0.75,-0.39999999999999997,0.17500000000000002,[-0.3],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,36,56.0,100,500,[-0.3],1,0.15,-0.3,-0.075,[-0.4],0,0.25,-0.5,-0.125,[-0.1],0,0.1,-0.2,-0.05
0,0,0,37,54.0,100,500,[-0.3],1,0.7,-0.2,0.24999999999999997,[-0.5],1,0.8,-0.39999999999999997,0.20000000000000004,[-0.2],0,0.1,0.0,0.05
0,0,0,38,53.0,100,500,[-0.2],1,0.75,-0.3,0.225,[-0.4],0,0.25,-0.3,-0.024999999999999994,[0.],0,0.1,0.0,0.05
0,0,0,39,50.0,100,500,[-0.3],1,0.8,-0.10000000000000003,0.35,[-0.3],1,0.8,-0.10000000000000003,0.35,[0.],1,0.65,0.19999999999999996,0.425
0,0,0,40,50.0,100,500,[-0.1],0,0.25,-0.2,0.024999999999999994,[-0.1],1,0.25,-0.2,0.024999999999999994,[0.2],0,0.15,0.0,0.075
0,0,0,41,50.0,100,500,[-0.2],0,0.2,-0.3,-0.04999999999999999,[-0.2],0,0.25,-0.39999999999999997,-0.07499999999999998,[0.],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,42,49.0,100,500,[-0.3],0,0.2,-0.3,-0.04999999999999999,[-0.4],1,0.75,-0.39999999999999997,0.17500000000000002,[-0.1],0,0.1,-0.09999999999999998,1.3877787807814457e-17
0,0,0,43,48.0,100,500,[-0.3],1,0.75,-0.3,0.225,[-0.4],1,0.25,-0.3,-0.024999999999999994,[-0.1],1,0.1,0.0,0.05
0,0,0,44,48.0,100,500,[-0.3],0,0.25,-0.5,-0.125,[-0.3],0,0.2,-0.4,-0.1,[0.],1,0.05,-0.09999999999999998,-0.024999999999999988
0,0,0,45,48.0,100,500,[-0.5],1,0.2,-0.6000000000000001,-0.20000000000000004,[-0.4],1,0.15,-0.5,-0.175,[-0.1],1,0.05,-0.3,-0.125
