seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
2,0,374,0.0,100,500,52.999999999999886,-281.8000000000004,52.999999999999886,46.549999999999905,-267.99999999999994,46.549999999999905
2,1,365,0.0,100,500,45.999999999999815,-259.00000000000045,45.999999999999815,53.499999999999886,-273.00000000000017,53.499999999999886
2,2,500,1.0,100,500,58.99999999999994,-420.0000000000001,58.99999999999994,39.99999999999986,-382.0,39.99999999999986
2,3,380,0.0,100,500,57.549999999999905,-295.9999999999999,57.549999999999905,41.999999999999844,-265.8,41.999999999999844
2,4,414,0.0,100,500,53.99999999999989,-323.8000000000002,53.99999999999989,45.54999999999991,-306.00000000000006,45.54999999999991
2,5,275,0.0,100,500,46.99999999999998,-170.80000000000007,46.99999999999998,52.54999999999992,-180.99999999999991,52.54999999999992
2,6,232,0.0,100,500,51.54999999999995,-135.99999999999991,51.54999999999995,47.99999999999998,-129.7999999999999,47.99999999999998
2,7,310,0.0,100,500,57.949999999999754,-228.20000000000022,57.949999999999754,41.4499999999999,-194.20000000000033,41.4499999999999
2,8,353,0.0,100,500,47.99999999999983,-250.80000000000007,47.99999999999983,51.54999999999981,-257.0000000000001,51.54999999999981
2,9,287,0.0,100,500,50.549999999999834,-188.9999999999999,50.549999999999834,48.99999999999987,-186.80000000000024,48.99999999999987
2,10,318,0.0,100,500,50.54999999999985,-220.0000000000002,50.54999999999985,48.999999999999886,-217.79999999999998,48.999999999999886
2,11,386,0.0,100,500,45.999999999999915,-279.80000000000007,45.999999999999915,53.549999999999855,-294.0,53.549999999999855
2,12,286,0.0,100,500,46.99999999999995,-182.19999999999993,46.99999999999995,52.449999999999804,-191.99999999999994,52.449999999999804
2,13,298,0.0,100,500,49.549999999999926,-198.00000000000003,49.549999999999926,49.99999999999986,-199.79999999999995,49.99999999999986
2,14,362,0.0,100,500,51.54999999999976,-265.99999999999994,51.54999999999976,47.99999999999991,-259.79999999999995,47.99999999999991
