simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5,simulation_index,episodes,emotion,see_emotions,alpha,beta,smoothing,threshold,rounder,learning_rate,gamma,epsilon,epsilon_decay,epsilon_min,batch_size,hidden_size,update_target_every,random_suffix,suffix,source
0,0,0,1000,2.0,500,1000,93.99999999999928,86.9999999999993,78.99999999999945,77.99999999999953,86.99999999999929,72.99999999999952,-838.3999999999994,-835.6000000000001,-832.4000000000019,-832.0000000000014,-835.600000000001,-830.0,-372.19999999999976,-374.2999999999999,-376.6999999999998,-376.99999999999966,-374.29999999999967,-378.4999999999997,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,1,1000,1.0,500,1000,77.99999999999949,83.99999999999952,83.99999999999942,85.99999999999949,84.99999999999945,81.9999999999997,-831.6000000000003,-833.9999999999999,-834.0000000000009,-834.8000000000011,-834.3999999999999,-833.2000000000002,-376.7999999999992,-374.9999999999992,-374.9999999999992,-374.3999999999991,-374.6999999999993,-375.5999999999991,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,2,1000,1.0,500,1000,78.99999999999957,80.99999999999929,87.99999999999963,88.99999999999963,81.99999999999959,79.9999999999996,-831.9999999999993,-832.799999999999,-835.5999999999992,-835.9999999999993,-833.1999999999989,-832.3999999999993,-376.4999999999996,-375.8999999999994,-373.7999999999994,-373.4999999999994,-375.5999999999995,-376.1999999999996,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,3,1000,1.0,500,1000,80.99999999999943,77.99999999999952,89.99999999999946,91.99999999999967,76.9999999999997,80.99999999999956,-832.8000000000004,-831.600000000001,-836.4000000000003,-837.200000000001,-831.2000000000005,-832.8000000000009,-375.9,-376.7999999999998,-373.19999999999993,-372.5999999999998,-377.1,-375.8999999999999,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,4,1000,2.0,500,1000,89.99999999999943,68.99999999999977,78.99999999999957,75.99999999999952,96.99999999999928,86.99999999999947,-836.8000000000004,-828.4000000000009,-832.4000000000018,-831.2,-839.600000000001,-835.6000000000018,-373.4,-379.7000000000001,-376.70000000000016,-377.60000000000014,-371.3000000000001,-374.3,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,5,1000,1.0,500,1000,70.99999999999962,95.99999999999947,56.999999999999616,88.99999999999943,95.99999999999936,89.99999999999928,-828.7999999999988,-838.7999999999997,-823.1999999999997,-835.9999999999999,-838.7999999999981,-836.3999999999997,-378.9000000000001,-371.3999999999999,-383.10000000000014,-373.4999999999999,-371.3999999999999,-373.2,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
0,0,6,1000,0.0,500,1000,73.99999999999957,78.99999999999963,86.99999999999957,89.99999999999928,85.99999999999949,83.99999999999933,-829.6000000000006,-831.6000000000007,-834.8000000000003,-835.9999999999993,-834.4000000000004,-833.6000000000005,-377.7999999999999,-376.30000000000007,-373.8999999999998,-373.0,-374.19999999999976,-374.8000000000002,0,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,112905,episode_summary,gametheoretic
1,1,0,1000,1.0,500,1000,78.99999999999956,91.99999999999928,88.99999999999942,85.99999999999929,74.99999999999953,77.99999999999966,-831.9999999999989,-837.1999999999991,-835.9999999999993,-834.7999999999993,-830.3999999999993,-831.6000000000001,-376.4999999999997,-372.5999999999999,-373.49999999999983,-374.4000000000001,-377.6999999999998,-376.7999999999996,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,1,1000,2.0,500,1000,88.99999999999937,84.9999999999995,78.99999999999952,69.99999999999974,89.99999999999952,84.9999999999994,-836.4000000000003,-834.7999999999995,-832.3999999999999,-828.7999999999996,-836.7999999999997,-834.8000000000002,-373.69999999999936,-374.8999999999993,-376.69999999999936,-379.3999999999991,-373.3999999999992,-374.8999999999992,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,2,1000,1.0,500,1000,83.99999999999942,75.99999999999946,83.99999999999933,85.99999999999946,83.99999999999939,84.99999999999955,-834.0000000000005,-830.8000000000002,-834.0000000000003,-834.7999999999993,-833.9999999999995,-834.3999999999999,-375.00000000000017,-377.40000000000026,-375.0000000000005,-374.4000000000002,-375.0000000000003,-374.70000000000016,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,3,1000,3.0,500,1000,82.99999999999945,90.99999999999936,74.99999999999956,78.99999999999952,92.99999999999945,75.99999999999946,-834.3999999999985,-837.5999999999989,-831.1999999999982,-832.7999999999987,-838.4000000000002,-831.5999999999979,-375.69999999999936,-373.2999999999992,-378.0999999999994,-376.8999999999992,-372.6999999999993,-377.7999999999995,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,4,1000,1.0,500,1000,74.99999999999974,80.99999999999939,79.99999999999962,91.99999999999926,80.99999999999952,89.99999999999956,-830.4000000000002,-832.8,-832.400000000001,-837.2000000000008,-832.7999999999995,-836.4000000000003,-377.70000000000033,-375.9000000000002,-376.2000000000002,-372.6000000000005,-375.9000000000003,-373.2000000000002,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,5,1000,1.0,500,1000,79.99999999999946,74.99999999999953,82.99999999999949,78.99999999999964,90.99999999999947,90.99999999999928,-832.3999999999997,-830.4000000000001,-833.5999999999999,-832.0,-836.7999999999997,-836.7999999999984,-376.19999999999993,-377.6999999999997,-375.2999999999998,-376.4999999999998,-372.8999999999999,-372.9,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
1,1,6,1000,0.0,500,1000,71.99999999999964,84.9999999999994,81.99999999999949,78.99999999999949,83.99999999999943,97.99999999999952,-828.7999999999995,-833.999999999999,-832.799999999999,-831.5999999999997,-833.5999999999999,-839.1999999999987,-378.4000000000001,-374.50000000000034,-375.40000000000015,-376.3000000000002,-374.8000000000001,-370.6000000000003,1,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,269846,episode_summary,gametheoretic
