step,resource,emotion_0,emotion_1,emotion_2,emotion_3,emotion_4,reward_0,reward_1,reward_2,reward_3,reward_4,action_0,action_1,action_2,action_3,action_4
0,1998.0,0.0,0.0,0.0,0.0,0.0,0.25,1.625,0.25,0.25,1.625,0,1,0,0,1
1,1995.0,0.4,0.4,0.4,0.4,0.4,0.34375,1.71875,1.625,0.34375,1.71875,0,1,1,0,1
2,1991.0,0.55,0.55,0.55,0.55,0.55,1.6875,1.8125,1.75,1.6875,0.5625,1,1,1,1,0
3,1987.0,0.7,0.7,0.7,0.7,0.7,1.734375,1.828125,1.78125,0.5,1.78125,1,1,1,0,1
4,1983.0,0.725,0.725,0.725,0.725,0.725,1.7625,1.8375,1.8,1.725,0.5750000000000001,1,1,1,1,0
5,1981.0,0.74,0.74,0.74,0.74,0.74,0.4166666666666667,0.47916666666666674,1.6666666666666667,1.6041666666666667,0.4166666666666667,0,0,1,1,0
6,1979.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.6071428571428572,0.4464285714285714,0.4464285714285714,0.39285714285714285,1.6071428571428572,1,0,0,0,1
7,1977.0,0.5,0.5,0.5,0.5,0.5,1.609375,0.421875,1.6328125,0.375,0.3984375,1,0,1,0,0
8,1976.0,0.4875,0.4875,0.4875,0.4875,0.4875,0.3333333333333333,0.3333333333333333,1.5625,0.29166666666666663,0.3125,0,0,1,0,0
9,1975.0,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3125,0.3125,0.35,0.275,1.5,0,0,0,0,1
10,1974.0,0.35,0.35,0.35,0.35,0.35,0.2954545454545454,0.2954545454545454,1.5340909090909092,0.26136363636363635,0.29545454545454547,0,0,1,0,0
11,1971.0,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.33636363636363636,0.4166666666666667,1.6197916666666665,1.6666666666666667,0.3854166666666667,1.6197916666666667,0,1,1,0,1
12,1969.0,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,1.5480769230769231,0.36057692307692313,0.40384615384615385,0.31730769230769235,1.5625,1,0,0,0,1
13,1967.0,0.4384615384615385,0.4384615384615385,0.4384615384615385,0.4384615384615385,0.4384615384615385,0.35267857142857145,0.35267857142857145,1.59375,0.3125,1.5669642857142856,0,0,1,0,1
14,1965.0,0.4357142857142858,0.4357142857142858,0.4357142857142858,0.4357142857142858,0.4357142857142858,0.3458333333333333,1.5458333333333334,1.5958333333333332,0.30833333333333335,0.37083333333333335,0,1,1,0,0
15,1962.0,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.40625,0.41796875,1.6640625,1.5703125,1.62890625,0,0,1,1,1
16,1961.0,0.5375,0.5375,0.5375,0.5375,0.5375,0.27205882352941174,0.28308823529411764,1.5367647058823528,0.25,0.30514705882352944,0,0,1,0,0
17,1957.0,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,0.32941176470588235,1.6597222222222223,1.6701388888888888,1.7326388888888888,0.4409722222222222,1.6909722222222223,1,1,1,0,1
18,1956.0,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.2763157894736842,0.28618421052631576,0.3453947368421052,1.444078947368421,0.3059210526315789,0,0,0,1,1
19,1955.0,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.26875,1.475,0.334375,0.25,0.296875,0,1,0,0,0
20,1952.0,0.325,0.325,0.325,0.325,0.325,0.39285714285714285,1.6071428571428572,1.6517857142857144,0.375,1.6160714285714286,0,1,1,0,1
21,1948.0,0.5285714285714286,0.5285714285714286,0.5285714285714286,0.5285714285714286,0.5285714285714286,0.4573863636363636,1.6789772727272727,1.7215909090909092,1.6363636363636362,1.6875,0,1,1,1,1
22,1945.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.3940217391304348,1.6222826086956523,0.46739130434782605,1.5815217391304348,1.6304347826086956,0,1,1,1,1
23,1943.0,0.5391304347826087,0.5391304347826087,0.5391304347826087,0.5391304347826087,0.5391304347826087,0.328125,1.5625,0.3984375,0.32812500000000006,1.5703125,0,1,0,0,1
24,1941.0,0.4375,0.4375,0.4375,0.4375,0.4375,1.52,1.565,0.3925,0.325,0.3775,1,1,0,0,0
25,1938.0,0.43599999999999994,0.43599999999999994,0.43599999999999994,0.43599999999999994,0.43599999999999994,1.5889423076923077,0.4375,0.4519230769230769,1.5817307692307692,1.6322115384615383,1,0,0,1,1
26,1936.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.5300925925925926,0.37037037037037035,0.38425925925925924,1.5231481481481481,0.3773148148148148,1,0,0,1,0
27,1932.0,0.437037037037037,0.437037037037037,0.437037037037037,0.437037037037037,0.437037037037037,1.6629464285714286,0.4955357142857143,1.703125,1.65625,1.6964285714285714,1,0,1,1,1
28,1932.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.21767241379310343,0.23706896551724138,0.2564655172413793,0.21120689655172414,0.25,0,1,0,0,0
29,1928.0,0.23448275862068962,0.23448275862068962,0.23448275862068962,0.23448275862068962,0.23448275862068962,1.6625,1.68125,0.50625,1.65625,1.69375,1,1,0,1,1
30,1924.0,0.64,0.64,0.64,0.64,0.64,1.6693548387096775,0.49395161290322576,1.6995967741935485,1.6633064516129032,1.6995967741935485,1,0,1,1,1
31,1921.0,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806,1.611328125,0.4296875,1.640625,1.60546875,0.447265625,1,0,1,1,0
32,1920.0,0.546875,0.546875,0.546875,0.546875,0.546875,0.2935606060606061,0.29924242424242425,0.321969696969697,0.28787878787878785,1.509469696969697,0,0,0,0,1
33,1917.0,0.3424242424242424,0.3424242424242424,0.3424242424242424,0.3424242424242424,0.3424242424242424,1.6102941176470589,1.6158088235294117,0.4448529411764706,1.6047794117647058,0.4448529411764706,1,1,0,1,0
34,1915.0,0.5441176470588236,0.5441176470588236,0.5441176470588236,0.5441176470588236,0.5441176470588236,0.35714285714285715,0.3625,1.5714285714285714,1.5446428571428572,0.37857142857142856,0,0,1,1,0
35,1911.0,0.4428571428571429,0.4428571428571429,0.4428571428571429,0.4428571428571429,0.4428571428571429,1.6753472222222223,1.6805555555555556,1.7013888888888888,0.4826388888888889,1.6961805555555556,1,1,1,0,1
36,1910.0,0.6472222222222223,0.6472222222222223,0.6472222222222223,0.6472222222222223,0.6472222222222223,0.2956081081081081,1.4932432432432432,0.32094594594594594,0.29054054054054057,0.3158783783783784,0,1,0,0,0
37,1907.0,0.34324324324324323,0.34324324324324323,0.34324324324324323,0.34324324324324323,0.34324324324324323,0.41940789473684215,0.4292763157894737,1.6365131578947367,1.606907894736842,1.6315789473684212,0,0,1,1,1
38,1905.0,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.35416666666666663,1.5560897435897436,0.3830128205128205,1.546474358974359,0.3782051282051282,0,1,0,1,0
39,1904.0,0.4435897435897436,0.4435897435897436,0.4435897435897436,0.4435897435897436,0.4435897435897436,1.4796875,0.30156249999999996,0.315625,0.2921875,0.3109375,1,0,0,0,0
40,1903.0,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.28810975609756095,0.2972560975609756,1.5030487804878048,0.28810975609756095,0.30640243902439024,0,0,1,0,0
41,1902.0,0.3365853658536585,0.3365853658536585,0.3365853658536585,0.3365853658536585,0.3365853658536585,0.28422619047619047,0.2931547619047619,0.31101190476190477,0.28422619047619047,1.494047619047619,0,0,0,0,1
42,1902.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.21656976744186046,0.22529069767441862,0.24273255813953487,0.21656976744186046,0.2383720930232558,0,0,0,0,1
43,1899.0,0.227906976744186,0.227906976744186,0.227906976744186,0.227906976744186,0.227906976744186,1.5951704545454546,0.4119318181818182,0.4289772727272727,1.5951704545454546,1.6164772727272727,1,0,0,1,1
44,1896.0,0.5295454545454545,0.5295454545454545,0.5295454545454545,0.5295454545454545,0.5295454545454545,1.598611111111111,0.41111111111111115,0.42777777777777776,1.598611111111111,1.6194444444444445,1,0,0,1,1
45,1893.0,0.5311111111111111,0.5311111111111111,0.5311111111111111,0.5311111111111111,0.5311111111111111,0.41032608695652173,1.6019021739130435,0.4266304347826087,1.6019021739130435,1.622282608695652,0,1,0,1,1
46,1891.0,0.532608695652174,0.532608695652174,0.532608695652174,0.532608695652174,0.532608695652174,1.5372340425531914,1.541223404255319,0.3617021276595745,0.3497340425531915,0.3696808510638298,1,1,0,0,0
47,1889.0,0.43191489361702134,0.43191489361702134,0.43191489361702134,0.43191489361702134,0.43191489361702134,0.34765625,1.54296875,1.55078125,0.34765625,0.3671875,0,1,1,1,0
48,1889.0,0.43125,0.43125,0.43125,0.43125,0.43125,0.2181122448979592,0.225765306122449,0.23341836734693877,0.2181122448979592,0.2372448979591837,0,0,0,0,0
49,1886.0,0.22653061224489796,0.22653061224489796,0.22653061224489796,0.22653061224489796,0.22653061224489796,0.405,0.4125,1.61125,1.59625,1.615,0,0,1,1,1
50,1884.0,0.5279999999999999,0.5279999999999999,0.5279999999999999,0.5279999999999999,0.5279999999999999,1.531862745098039,1.5392156862745097,0.35906862745098034,0.3443627450980392,0.3627450980392156,1,1,0,0,0
51,1880.0,0.4274509803921568,0.4274509803921568,0.4274509803921568,0.4274509803921568,0.4274509803921568,1.6610576923076923,1.6682692307692308,1.6754807692307692,1.6610576923076923,0.4879807692307693,1,1,1,1,0
52,1877.0,0.6307692307692309,0.6307692307692309,0.6307692307692309,0.6307692307692309,0.6307692307692309,0.410377358490566,1.608490566037736,0.42452830188679247,1.6014150943396226,1.615566037735849,0,1,0,1,1
53,1875.0,0.5320754716981132,0.5320754716981132,0.5320754716981132,0.5320754716981132,0.5320754716981132,0.3460648148148148,1.5474537037037037,1.550925925925926,0.34953703703703703,0.36342592592592593,0,1,1,0,0
54,1872.0,0.43148148148148147,0.43148148148148147,0.43148148148148147,0.43148148148148147,0.43148148148148147,1.5988636363636364,0.42159090909090907,1.615909090909091,0.4113636363636364,1.6159090909090907,1,0,1,0,1
55,1869.0,0.5327272727272727,0.5327272727272727,0.5327272727272727,0.5327272727272727,0.5327272727272727,0.4107142857142857,1.6116071428571428,0.4274553571428571,1.6015625,1.6183035714285714,0,1,0,1,1
56,1868.0,0.5339285714285713,0.5339285714285713,0.5339285714285713,0.5339285714285713,0.5339285714285713,0.28289473684210525,0.29605263157894735,0.29934210526315785,0.28618421052631576,1.4934210526315788,0,0,1,0,1
57,1866.0,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.33157894736842103,0.34375,0.3566810344827586,0.3599137931034483,1.5377155172413792,1.5571120689655171,0,0,0,1,1
