Episode,Reward
0,56.52
10,55.31
20,59.5
30,58.16
40,38.14
50,49.11
60,58.92
70,55.49
80,53.89
90,49.1
100,56.93
110,52.36
120,54.57
130,56.94
140,56.71
150,56.45
160,60.0
170,49.94
180,43.33
190,59.02
200,56.42
210,43.14
220,57.64
230,60.63
240,60.04
250,50.26
260,48.91
270,51.47
280,48.25
290,53.43
300,43.82
310,57.64
320,54.38
330,57.82
340,58.66
350,57.83
360,54.16
370,51.51
380,40.36
390,50.96
400,58.62
410,60.55
420,57.77
430,48.84
440,62.96
450,53.75
460,43.73
470,57.28
480,60.03
490,61.14
500,60.06
510,51.1
520,63.91
530,50.12
540,54.83
550,58.73
560,50.62
570,57.95
580,48.85
590,48.47
600,50.98
610,49.11
620,55.81
630,51.77
640,64.18
650,45.22
660,52.21
670,56.64
680,56.24
690,51.44
700,63.12
710,49.18
720,48.08
730,55.9
740,48.54
750,51.71
760,54.34
770,49.58
780,58.14
790,58.98
800,54.0
810,57.7
820,42.3
830,48.34
840,51.89
850,56.93
860,45.89
870,45.84
880,60.48
890,58.62
900,60.31
910,63.51
920,54.48
930,57.78
940,51.16
950,62.51
960,43.99
970,62.89
980,59.31
990,59.76
1000,61.64
1010,53.64
1020,60.39
1030,51.83
1040,55.59
1050,47.05
1060,52.32
1070,55.74
1080,53.75
1090,60.32
1100,48.52
1110,64.25
1120,49.51
1130,52.46
1140,59.38
1150,54.94
1160,58.67
1170,61.33
1180,46.81
1190,55.4
1200,60.12
1210,49.84
1220,52.72
1230,49.16
1240,52.42
1250,47.52
1260,47.85
1270,51.83
1280,54.63
1290,65.45
1300,53.08
1310,55.66
1320,55.27
1330,54.59
1340,55.77
1350,52.57
1360,59.67
1370,49.49
1380,48.25
1390,53.44
1400,65.03
1410,50.53
1420,64.12
1430,49.29
1440,60.81
1450,54.26
1460,46.86
1470,49.14
1480,48.45
1490,60.37
1500,59.96
1510,57.73
1520,51.6
1530,44.37
1540,55.52
1550,43.27
1560,44.57
1570,62.3
1580,53.63
1590,46.34
1600,50.58
1610,45.31
1620,54.75
1630,61.2
1640,58.97
1650,61.25
1660,57.63
1670,52.07
1680,55.19
1690,60.08
1700,51.18
1710,54.53
1720,50.76
1730,65.77
1740,54.35
1750,54.93
1760,59.02
1770,52.85
1780,56.89
1790,40.32
1800,57.18
1810,51.53
1820,64.86
1830,55.0
1840,44.57
1850,49.61
1860,59.44
1870,46.14
1880,48.27
1890,65.82
1900,38.68
1910,61.6
1920,46.95
1930,72.21
1940,59.56
1950,50.78
1960,42.02
1970,58.23
1980,52.3
1990,61.38
2000,47.65
2010,53.19
2020,45.69
2030,50.09
2040,44.98
2050,52.39
2060,45.67
2070,56.83
2080,58.52
2090,60.02
2100,48.94
2110,42.61
2120,54.93
2130,64.06
2140,52.35
2150,61.09
2160,53.9
2170,53.13
2180,61.77
2190,47.43
2200,66.05
2210,45.88
2220,46.77
2230,51.93
2240,52.61
2250,55.47
2260,54.38
2270,59.4
2280,47.04
2290,57.36
2300,58.4
2310,57.98
2320,41.11
2330,57.37
2340,61.4
2350,46.97
2360,46.8
2370,51.41
2380,55.51
2390,51.73
2400,42.75
2410,55.95
2420,52.56
2430,55.76
2440,56.75
2450,56.52
2460,55.75
2470,59.47
2480,52.02
2490,60.32
2500,51.36
2510,46.78
2520,60.24
2530,45.43
2540,52.89
2550,58.59
2560,57.76
2570,57.14
2580,53.97
2590,58.24
2600,47.69
2610,61.53
2620,57.87
2630,53.3
2640,54.67
2650,48.46
2660,55.62
2670,49.78
2680,59.21
2690,60.52
2700,59.05
2710,49.2
2720,69.51
2730,50.74
2740,53.51
2750,52.44
2760,53.12
2770,54.85
2780,46.58
2790,50.26
2800,58.44
2810,51.16
2820,43.61
2830,54.02
2840,52.81
2850,54.81
2860,58.3
2870,58.24
2880,67.06
2890,56.67
2900,50.35
2910,49.31
2920,62.89
2930,59.21
2940,58.19
2950,53.53
2960,49.38
2970,57.16
2980,57.82
2990,47.61
3000,52.75
3010,56.09
3020,55.56
3030,54.45
3040,56.07
3050,62.97
3060,51.75
3070,51.58
3080,47.27
3090,45.66
3100,56.86
3110,50.41
3120,58.16
3130,60.23
3140,59.05
3150,56.17
3160,51.76
3170,57.01
3180,63.68
3190,50.02
3200,52.23
3210,55.14
3220,59.51
3230,56.32
3240,60.14
3250,55.68
3260,61.65
3270,59.32
3280,45.85
3290,57.99
3300,63.7
3310,58.49
3320,61.31
3330,59.78
3340,43.49
3350,54.53
3360,60.8
3370,57.55
3380,53.48
3390,50.45
3400,64.67
3410,46.25
3420,58.34
3430,62.46
3440,54.44
3450,53.43
3460,69.34
3470,48.13
3480,57.27
3490,51.74
3500,55.02
3510,50.89
3520,50.76
3530,52.3
3540,47.47
3550,49.67
3560,59.18
3570,59.15
3580,59.08
3590,66.53
3600,55.81
3610,61.11
3620,49.13
3630,56.55
3640,60.49
3650,56.69
3660,60.73
3670,52.49
3680,51.7
3690,51.77
3700,63.77
3710,57.71
3720,48.02
3730,51.14
3740,56.53
3750,53.12
3760,66.11
3770,54.45
3780,48.63
3790,63.01
3800,45.66
3810,53.62
3820,49.31
3830,47.19
3840,58.59
3850,59.65
3860,47.5
3870,56.52
3880,49.49
3890,60.86
3900,52.74
3910,57.36
3920,53.87
3930,48.85
3940,57.83
3950,67.84
3960,68.0
3970,53.36
3980,54.1
3990,49.4
4000,49.88
4010,53.34
4020,78.4
4030,61.14
4040,67.78
4050,65.1
4060,61.8
4070,48.91
4080,53.74
4090,66.17
4100,58.38
4110,54.82
4120,61.41
4130,50.56
4140,58.8
4150,54.79
4160,62.61
4170,51.96
4180,58.6
4190,55.48
4200,53.82
4210,49.15
4220,49.71
4230,66.03
4240,56.45
4250,48.35
4260,47.65
4270,61.75
4280,53.87
4290,64.06
4300,48.77
4310,53.23
4320,57.19
4330,50.46
4340,44.05
4350,60.97
4360,64.24
4370,54.89
4380,48.34
4390,55.04
4400,40.46
4410,54.92
4420,51.01
4430,57.48
4440,53.9
4450,54.25
4460,56.41
4470,45.49
4480,63.74
4490,60.33
4500,55.89
4510,50.37
4520,50.46
4530,45.47
4540,58.51
4550,51.08
4560,51.95
4570,57.14
4580,73.03
4590,49.79
4600,61.27
4610,47.56
4620,52.95
4630,58.03
4640,52.27
4650,58.01
4660,61.46
4670,43.61
4680,59.12
4690,53.05
4700,49.56
4710,48.78
4720,62.93
4730,48.79
4740,54.35
4750,57.77
4760,55.63
4770,46.86
4780,53.07
4790,56.9
4800,52.34
4810,51.26
4820,58.99
4830,54.8
4840,62.22
4850,54.08
4860,60.14
4870,50.06
4880,53.76
4890,50.08
4900,54.06
4910,53.03
4920,45.71
4930,52.18
4940,56.24
4950,54.31
4960,41.21
4970,58.92
4980,63.87
4990,38.91
